stage,experiment,kernel_slug,role,loss_variant,is_hypothesis,hypothesis_family_size,axis,level,conditional_extension_levels,stage_lock_payload_sha256,stage_lock_transition_kind,completed,completion_path,run_id,status,completed_at_utc,epochs,learning_rate,weight_decay,warmup_ratio,label_smoothing,max_grad_norm,batch_size_per_gpu,gradient_accumulation,effective_batch,seed,iid_macro_ap,hard_macro_ap,ood_macro_ap,hard_recall_at_p99,hard_roc_auc,ood_log_loss,iid_delta,iid_p_value,iid_p_holm_3_splits,iid_ci95_low,iid_ci95_high,iid_delta_vs_anchor,iid_p_value_vs_anchor,iid_ci95_low_vs_anchor,iid_ci95_high_vs_anchor,hard_delta,ood_delta,training_seconds,total_pipeline_seconds,peak_vram_gib,recipe_sha256,code_bundle_sha256,iid_predictions_sha256,sheets_sync_status,iid_p_holm_stage
regularization_coordinate_search__effective_batch,minilm5_sft_eb384_c9f42551_v1,pm-minilm5-sft-eb384-c9f42551-v1,candidate,bce,True,2,effective_batch,384,[],1c1b7092bd9e9d5849ee2ac8eff0639f1add33e36e826fb0402a4595b380e859,stage_transition,True,/Users/aekuleshevskii/product_matching/artifacts/kaggle/pm-minilm5-sft-eb384-c9f42551-v1/notebook_completed.json,491f6bf07f804f1bbf348368ca45765c,complete,2026-08-28T01:32:43Z,3,8e-05,0.01,0.05,0.0,1.0,96,2,384,42,0.809527116012489,0.4204062035229061,0.6505327299601378,0.0006752194463200541,0.7440902715261065,0.35314245057953103,0.020138983237557917,0.0004997501249375312,0.0014992503748125937,0.013179333111133062,0.0266212416199897,0.0010247719688134538,0.5362318840579711,-0.0022313481491960637,0.00436132267349523,0.05490528337427486,0.007872467504840719,2547.204033463,2985.553608706,9.640823364257812,c9f42551f54facf1ff5f6b9f83ae916adaecadfbffe029fb718c23537b8b0c47,4b59d00cb679cdb603cc51a5646541e880a8b79206ad31ec63bcb988c2e6f00e,2cff1ec52c81492e5f341a823a1bfde9c86e29a5f5bc94fe5329c3584c8013e3,synced,1.0
regularization_coordinate_search__effective_batch,minilm5_sft_eb96_2c69ea29_v1,pm-minilm5-sft-eb96-2c69ea29-v1,candidate,bce,True,2,effective_batch,96,[],1c1b7092bd9e9d5849ee2ac8eff0639f1add33e36e826fb0402a4595b380e859,stage_transition,True,/Users/aekuleshevskii/product_matching/artifacts/kaggle/pm-minilm5-sft-eb96-2c69ea29-v1/notebook_completed.json,00b2e0e2ebb44f7bba77cff10518e7f6,complete,2026-08-28T00:31:35Z,3,8e-05,0.01,0.05,0.0,1.0,48,1,96,42,0.8089322589330503,0.41500916971202817,0.6451785333108324,0.0,0.7416522041715253,0.36234875623509777,0.01954412615811929,0.0004997501249375312,0.0014992503748125937,0.011471442236226407,0.027082537022723414,0.00042991488937482725,0.8670664667666167,-0.004488083340674617,0.0053959540207305515,0.049508249563396944,0.002518270855535354,3384.6250748189996,3833.848371027,5.49795389175415,2c69ea2945f6c73d2be7788c19c26aa7b8da688892ebbab351415ae60f1da56a,4b59d00cb679cdb603cc51a5646541e880a8b79206ad31ec63bcb988c2e6f00e,a8c4e9a0730f4a8675dfdcab9941a3ebafda9df946818b132ff1bc3dc23d441a,synced,1.0
regularization_coordinate_search__effective_batch,minilm5_sft_e3_lr8e5_v1,pm-minilm5-sft-e3-lr8e5-v1,stage_anchor,bce,False,2,effective_batch,192,[],1c1b7092bd9e9d5849ee2ac8eff0639f1add33e36e826fb0402a4595b380e859,stage_transition,True,/Users/aekuleshevskii/product_matching/artifacts/kaggle/pm-minilm5-sft-e3-lr8e5-v1/notebook_completed.json,2facdf6ad2b842a8a2f3e4c66410675e,complete,2026-08-27T21:40:34Z,3,8e-05,0.01,0.05,0.0,1.0,96,1,192,42,0.8085023440436755,0.4232862543776499,0.6479765771635906,0.0,0.7446779134675036,0.36364994418913704,0.019114211268744463,0.0004997501249375312,0.0014992503748125937,0.011101041773375158,0.02643029296259194,0.0,1.0,0.0,0.0,0.05778533422901866,0.005316314708293524,2966.8185710800003,3416.3491150980003,9.187827110290527,e98a9eb6cc5bc2307c94c7c63f9639d8b3de0155e65e24c1a663494a752bc0bd,4b59d00cb679cdb603cc51a5646541e880a8b79206ad31ec63bcb988c2e6f00e,2fd79620059ad4425afe3998912b08f8cd6f9db06d54ca2fd042a9b5f7215e00,synced,
