,gte,rumodernbert,bge,minilm
gte,1.0,0.9347960610427274,0.9456748112580344,0.9306480795333
rumodernbert,0.9347960610427274,1.0,0.9479343385953377,0.9313260410073708
bge,0.9456748112580344,0.9479343385953377,1.0,0.950094107395132
minilm,0.9306480795333,0.9313260410073708,0.950094107395132,1.0
