,gte,rumodernbert,bge,minilm
gte,1.0,0.9257118684003618,0.9396465387964209,0.920661040608414
rumodernbert,0.9257118684003618,1.0,0.9380811243941609,0.9214225698220673
bge,0.9396465387964209,0.9380811243941609,1.0,0.9358281059855856
minilm,0.920661040608414,0.9214225698220673,0.9358281059855856,1.0
