,gte,rumodernbert,bge,minilm
gte,1.0,0.865932188409158,0.8929284851107113,0.858697369020208
rumodernbert,0.865932188409158,1.0,0.8924103075320593,0.8592554053939415
bge,0.8929284851107113,0.8924103075320593,1.0,0.886574594788195
minilm,0.858697369020208,0.8592554053939415,0.886574594788195,1.0
