,gte,rumodernbert,bge,minilm
gte,1.0,0.9198212278174852,0.9326627844213979,0.9163297124359521
rumodernbert,0.9198212278174852,1.0,0.9379658989657937,0.9218290475305934
bge,0.9326627844213979,0.9379658989657937,1.0,0.9355766397989431
minilm,0.9163297124359521,0.9218290475305934,0.9355766397989431,1.0
