,gte,rumodernbert,bge,minilm
gte,1.0,0.9045696946505913,0.9147661944703984,0.8955769169190975
rumodernbert,0.9045696946505913,1.0,0.9222761131818714,0.9004775332222646
bge,0.9147661944703984,0.9222761131818714,1.0,0.9219829898000552
minilm,0.8955769169190975,0.9004775332222646,0.9219829898000552,1.0
