model,threshold,best_f1,precision,recall
gte,0.3731314539909363,0.7419405566913037,0.7278617710583153,0.7565747273893522
rumodernbert,0.39473289251327515,0.7518064718818724,0.7367610837438424,0.7674791533033997
bge,0.42573681473731995,0.7583716349310572,0.7767316745124412,0.7408595253367544
minilm,0.37262552976608276,0.7597923548843795,0.7456004939796234,0.7745349583066068
