method,coverage,iid_macro_ap,hard_macro_ap,ood_macro_ap,mean_macro_ap
bge,0.0,0.7822219461825138,0.3759746515593398,0.6412704537924441,0.5998223505114325
full_ensemble,1.0,0.7928572484420844,0.37347953928110134,0.6413150923060148,0.6025506266764001
