scope,tolerance,status,minimum_coverage,specialist_weight,mean_macro_ap,mean_delta_vs_full,worst_split_delta_vs_full,minilm_stage_saved_pct
mean_ap,0.001,reached,0.1,0.5,0.6018858964286309,-0.0006647302477692518,-0.005476928155157212,90.0
every_split,0.001,reached,0.7,0.5,0.6028970324100912,0.00034640573369104644,-0.000266728951443862,30.000000000000004
mean_ap,0.002,reached,0.05,0.75,0.601041068716119,-0.0015095579602811826,-0.007303583107088674,95.0
every_split,0.002,reached,0.5,0.5,0.6029912738606069,0.0004406471842067772,-0.0014517474424774468,50.0
