target_prevalence,negative_weight,repeat,sampled_pairs,global_weighted_prevalence,mean_category_weighted_prevalence,macro_average_precision,global_average_precision,macro_roc_auc,global_roc_auc
0.1,3.1196054859049536,0,141281,0.09999929219074044,0.10975763939168352,0.29569276744292566,0.3622028782014114,0.7362232296157133,0.7948679008254464
0.1,3.1196054859049536,1,141281,0.09999929219074044,0.10975763939168352,0.29413960332383876,0.35963604835369656,0.7350541526120462,0.7940605459470942
0.1,3.1196054859049536,2,141281,0.09999929219074044,0.10975763939168352,0.2911664049048498,0.35696603824605067,0.7344737808095922,0.7933143714429374
0.1,3.1196054859049536,3,141281,0.09999929219074044,0.10975763939168352,0.294957138838728,0.36108125400413843,0.7371017812931467,0.7949771554897005
0.1,3.1196054859049536,4,141281,0.09999929219074044,0.10975763939168352,0.2957891554107829,0.36308382583556564,0.7371778641657101,0.795215799056663
0.1,3.1196054859049536,5,141281,0.09999929219074044,0.10975763939168352,0.2936988736649251,0.36098917736565,0.7362081319719456,0.7943576391757252
0.1,3.1196054859049536,6,141281,0.09999929219074044,0.10975763939168352,0.2906856758549085,0.3570282901344523,0.7349554170173157,0.794002998915201
0.1,3.1196054859049536,7,141281,0.09999929219074044,0.10975763939168352,0.29096057099943873,0.3555165317367562,0.7349992686224894,0.7938268875796085
0.1,3.1196054859049536,8,141281,0.09999929219074044,0.10975763939168352,0.29207902643819905,0.3599760721828319,0.7354509770831961,0.794287003594594
0.1,3.1196054859049536,9,141281,0.09999929219074044,0.10975763939168352,0.29380127248057863,0.36073161889434047,0.7366092386138298,0.7946788033666898
0.1,3.1196054859049536,10,141281,0.09999929219074044,0.10975763939168352,0.2944437585576005,0.3607138260827898,0.7350246182393401,0.7942569860750149
0.1,3.1196054859049536,11,141281,0.09999929219074044,0.10975763939168352,0.2921448885004218,0.35920928433943977,0.7357503915161792,0.7944051362057921
0.1,3.1196054859049536,12,141281,0.09999929219074044,0.10975763939168352,0.29396729290075424,0.36002015651581104,0.7364039363018301,0.7945782187355832
0.1,3.1196054859049536,13,141281,0.09999929219074044,0.10975763939168352,0.2965240275436962,0.36329867792463644,0.736756520892067,0.7950253486274046
0.1,3.1196054859049536,14,141281,0.09999929219074044,0.10975763939168352,0.2917492532966474,0.3576543204581601,0.7357584858323983,0.794303451886051
0.1,3.1196054859049536,15,141281,0.09999929219074044,0.10975763939168352,0.291562128274194,0.35748526854383245,0.736009374643779,0.7943396177533741
0.1,3.1196054859049536,16,141281,0.09999929219074044,0.10975763939168352,0.29374166760977405,0.3630680922915791,0.7358400696938056,0.7939833058325263
0.1,3.1196054859049536,17,141281,0.09999929219074044,0.10975763939168352,0.29116007459271814,0.35692643922519,0.7349337747976583,0.7936559039493347
0.1,3.1196054859049536,18,141281,0.09999929219074044,0.10975763939168352,0.2933532409781778,0.3605828599072567,0.7356407485748109,0.7940637748734038
0.1,3.1196054859049536,19,141281,0.09999929219074044,0.10975763939168352,0.29243726211109994,0.36033471836849956,0.7361280821646867,0.7943837903893508
0.1,3.1196054859049536,20,141281,0.09999929219074044,0.10975763939168352,0.2928007593400993,0.3577036303210974,0.7351487123321421,0.7940647045013561
0.1,3.1196054859049536,21,141281,0.09999929219074044,0.10975763939168352,0.2953950141953383,0.36146709240660596,0.7366790165866481,0.7948959730846189
0.1,3.1196054859049536,22,141281,0.09999929219074044,0.10975763939168352,0.2934024971180753,0.35878892752469255,0.7356450476171424,0.793833447301638
0.1,3.1196054859049536,23,141281,0.09999929219074044,0.10975763939168352,0.2934402225903927,0.35983476417485016,0.7355546562966907,0.7940145761231872
0.1,3.1196054859049536,24,141281,0.09999929219074044,0.10975763939168352,0.293411468387207,0.36186058315306224,0.7356497195150309,0.7938258360423619
0.1,3.1196054859049536,25,141281,0.09999929219074044,0.10975763939168352,0.29218281852300176,0.35826725708192225,0.7364472156512968,0.7946540980863612
0.1,3.1196054859049536,26,141281,0.09999929219074044,0.10975763939168352,0.29468010481455303,0.3609160689012695,0.7359516302350679,0.7944918123224072
0.1,3.1196054859049536,27,141281,0.09999929219074044,0.10975763939168352,0.2908767440531486,0.35803874222801424,0.7349953430500797,0.7938055526181044
0.1,3.1196054859049536,28,141281,0.09999929219074044,0.10975763939168352,0.2920968858117627,0.35929494304336257,0.7357163093520154,0.7940201547258958
0.1,3.1196054859049536,29,141281,0.09999929219074044,0.10975763939168352,0.2922668050502031,0.3590105459854025,0.7361767925125832,0.7943675207868596
0.075,4.275014925129011,0,188372,0.07500053086445968,0.08364631459660676,0.24444013953916466,0.3019711506107577,0.7365693117877423,0.7946197107176842
0.075,4.275014925129011,1,188372,0.07500053086445968,0.08364631459660676,0.2450562581384174,0.2990329789921421,0.734843428893029,0.7936998491142307
0.075,4.275014925129011,2,188372,0.07500053086445968,0.08364631459660676,0.245477441062575,0.3018172883392235,0.7352693425164623,0.7935835121265365
0.075,4.275014925129011,3,188372,0.07500053086445968,0.08364631459660676,0.2439553173394068,0.2993497477834633,0.735537770173224,0.7941002329139702
0.075,4.275014925129011,4,188372,0.07500053086445968,0.08364631459660676,0.24630996049790815,0.30128869601600783,0.7351460858006,0.7940205875598408
0.075,4.275014925129011,5,188372,0.07500053086445968,0.08364631459660676,0.24554505904291796,0.302478958493586,0.7353552162179111,0.7939538975824194
0.075,4.275014925129011,6,188372,0.07500053086445968,0.08364631459660676,0.24672946991451403,0.3025629313057576,0.7356008694091779,0.7941538984572549
0.075,4.275014925129011,7,188372,0.07500053086445968,0.08364631459660676,0.24630368362589908,0.3029090787611091,0.7363899952936245,0.794509626473926
0.075,4.275014925129011,8,188372,0.07500053086445968,0.08364631459660676,0.24314849153125082,0.29951412103754627,0.7350296084851631,0.7935514891813624
0.075,4.275014925129011,9,188372,0.07500053086445968,0.08364631459660676,0.24539311947462403,0.30101808254634677,0.7348118864420431,0.7937538717250432
0.075,4.275014925129011,10,188372,0.07500053086445968,0.08364631459660676,0.24379794024456727,0.3003161517551388,0.7361697656139434,0.7942569717471337
0.075,4.275014925129011,11,188372,0.07500053086445968,0.08364631459660676,0.24467662801898288,0.3017599171987646,0.734799990592639,0.7936274369164127
0.075,4.275014925129011,12,188372,0.07500053086445968,0.08364631459660676,0.246780857383065,0.30300942031784484,0.7354085953122221,0.7941387149629255
0.075,4.275014925129011,13,188372,0.07500053086445968,0.08364631459660676,0.24435588848631945,0.30030708732232425,0.7355176149845224,0.7940008968496371
0.075,4.275014925129011,14,188372,0.07500053086445968,0.08364631459660676,0.24565431223270964,0.3026077166776133,0.7356208432892894,0.7940905238457349
0.075,4.275014925129011,15,188372,0.07500053086445968,0.08364631459660676,0.24674562599977756,0.3037471293216981,0.7354007916981231,0.7938794518464404
0.075,4.275014925129011,16,188372,0.07500053086445968,0.08364631459660676,0.24572585177220602,0.30360939435012557,0.7354937865972605,0.7942205614210353
0.075,4.275014925129011,17,188372,0.07500053086445968,0.08364631459660676,0.24710177605913378,0.3041962357113752,0.7360877940983198,0.7940898968449055
0.075,4.275014925129011,18,188372,0.07500053086445968,0.08364631459660676,0.24658851684414898,0.3016383137113474,0.7370421651712006,0.7948870641150355
0.075,4.275014925129011,19,188372,0.07500053086445968,0.08364631459660676,0.24606196164546104,0.30081932003180933,0.7358797542454926,0.7942167067978612
0.075,4.275014925129011,20,188372,0.07500053086445968,0.08364631459660676,0.2464292852743361,0.3035057397090779,0.7360374441094611,0.7945045954371452
0.075,4.275014925129011,21,188372,0.07500053086445968,0.08364631459660676,0.2452548213928686,0.3018073366924367,0.736432351481726,0.794698831641577
0.075,4.275014925129011,22,188372,0.07500053086445968,0.08364631459660676,0.2443249254413562,0.30035340535935084,0.7360166804498454,0.7943757166048739
0.075,4.275014925129011,23,188372,0.07500053086445968,0.08364631459660676,0.24532498005554787,0.30167213795036174,0.7347906837287057,0.7938222787951149
0.075,4.275014925129011,24,188372,0.07500053086445968,0.08364631459660676,0.2473631288749245,0.3031767041131017,0.736034974306386,0.7943859673677034
0.075,4.275014925129011,25,188372,0.07500053086445968,0.08364631459660676,0.24561371569059204,0.30131457769778797,0.7349972084275139,0.7938720407656952
0.075,4.275014925129011,26,188372,0.07500053086445968,0.08364631459660676,0.24534927525910347,0.3020383909041561,0.7356975734613461,0.7940119505066288
0.075,4.275014925129011,27,188372,0.07500053086445968,0.08364631459660676,0.2442319638819963,0.2999342189910011,0.7357372784402296,0.7939973960442293
0.075,4.275014925129011,28,188372,0.07500053086445968,0.08364631459660676,0.24648603787133042,0.3019364065502513,0.7363157051472393,0.7945290691867172
0.075,4.275014925129011,29,188372,0.07500053086445968,0.08364631459660676,0.24556215040899887,0.3015255458546462,0.7354630744253909,0.7941246589326723
0.05,6.585833803577124,0,282561,0.04999982304705886,0.05673957089401094,0.18855323471063445,0.23062065033449367,0.7359956766661098,0.7943731076232841
0.05,6.585833803577124,1,282561,0.04999982304705886,0.05673957089401094,0.19031743805058424,0.2338297855056974,0.7371712533850495,0.7952235655865232
0.05,6.585833803577124,2,282561,0.04999982304705886,0.05673957089401094,0.18875634981345188,0.23025039309073853,0.7350903457020487,0.7938188668717951
0.05,6.585833803577124,3,282561,0.04999982304705886,0.05673957089401094,0.18886991811637752,0.23162651781144,0.7352363474160954,0.7936504781489706
0.05,6.585833803577124,4,282561,0.04999982304705886,0.05673957089401094,0.18762659632091583,0.2302483474064128,0.7357881087192941,0.7941771660553725
0.05,6.585833803577124,5,282561,0.04999982304705886,0.05673957089401094,0.1891593455252101,0.23133812789748281,0.736004158196946,0.7943175167549628
0.05,6.585833803577124,6,282561,0.04999982304705886,0.05673957089401094,0.18802938109948758,0.23013643775017864,0.7354805623199719,0.7939798840509872
0.05,6.585833803577124,7,282561,0.04999982304705886,0.05673957089401094,0.18966193034730955,0.23158743582466867,0.7356318464271753,0.794262771916036
0.05,6.585833803577124,8,282561,0.04999982304705886,0.05673957089401094,0.18942226219127942,0.232168689453426,0.7355718074549179,0.7940365148881197
0.05,6.585833803577124,9,282561,0.04999982304705886,0.05673957089401094,0.1877977747954192,0.23016217885191423,0.7357618092786693,0.7940478459073276
0.05,6.585833803577124,10,282561,0.04999982304705886,0.05673957089401094,0.18859413765305383,0.23078298368306965,0.7351277321173048,0.7939932495223664
0.05,6.585833803577124,11,282561,0.04999982304705886,0.05673957089401094,0.1883186513802951,0.23190036948005216,0.7351025677615113,0.7939475930721354
0.05,6.585833803577124,12,282561,0.04999982304705886,0.05673957089401094,0.1888357075284514,0.2308157965847074,0.7362865616629607,0.7945882015985574
0.05,6.585833803577124,13,282561,0.04999982304705886,0.05673957089401094,0.18822289379226215,0.23042805315789705,0.7348072895214299,0.7937396694497737
0.05,6.585833803577124,14,282561,0.04999982304705886,0.05673957089401094,0.18798075894726085,0.23061066875287473,0.7350064040487341,0.7937350957228428
0.05,6.585833803577124,15,282561,0.04999982304705886,0.05673957089401094,0.1897311705904512,0.23319345223581114,0.7360927183982218,0.7943693307487232
0.05,6.585833803577124,16,282561,0.04999982304705886,0.05673957089401094,0.18885441606944398,0.23127066364226337,0.7358124731126019,0.7942687179851772
0.05,6.585833803577124,17,282561,0.04999982304705886,0.05673957089401094,0.18755789118962282,0.22918260444392913,0.7344813834443104,0.7933552577937342
0.05,6.585833803577124,18,282561,0.04999982304705886,0.05673957089401094,0.18763921655998933,0.2305412424122854,0.7367982723901001,0.7947483433476143
0.05,6.585833803577124,19,282561,0.04999982304705886,0.05673957089401094,0.18882551637502765,0.23098510707712788,0.735528725561386,0.794235831344676
0.05,6.585833803577124,20,282561,0.04999982304705886,0.05673957089401094,0.18981572902562607,0.23288176154736456,0.7360034665209778,0.7943334788523229
0.05,6.585833803577124,21,282561,0.04999982304705886,0.05673957089401094,0.19029643662494258,0.23149073085444855,0.7352957408364038,0.7938437243413272
0.05,6.585833803577124,22,282561,0.04999982304705886,0.05673957089401094,0.18747626658507893,0.2287319477615986,0.7354587416229721,0.7938378163744917
0.05,6.585833803577124,23,282561,0.04999982304705886,0.05673957089401094,0.18972030963188175,0.2331244099569934,0.7360663819369239,0.7943986981337123
0.05,6.585833803577124,24,282561,0.04999982304705886,0.05673957089401094,0.189494808573022,0.23219372718789244,0.7356491358092375,0.7943053348282108
0.05,6.585833803577124,25,282561,0.04999982304705886,0.05673957089401094,0.18774800964029564,0.22995282924600297,0.735844256670406,0.7943203667810521
0.05,6.585833803577124,26,282561,0.04999982304705886,0.05673957089401094,0.19019498767178777,0.23172691901710812,0.7359134705412582,0.7941848156535465
0.05,6.585833803577124,27,282561,0.04999982304705886,0.05673957089401094,0.18686591703015337,0.22960652513890747,0.7344623582187274,0.793450285207544
0.05,6.585833803577124,28,282561,0.04999982304705886,0.05673957089401094,0.19003834481573453,0.23219174685192479,0.7353665395779668,0.7937886872089349
0.05,6.585833803577124,29,282561,0.04999982304705886,0.05673957089401094,0.18794198693313385,0.23102043183857007,0.735928732313825,0.7944194769426025
