target_prevalence,negative_weight,category,pairs,positive_examples,unweighted_prevalence,weighted_prevalence,average_precision,roc_auc
0.25740157049938966,1.0,Автотовары,2859,512,0.17908359566281917,0.17908359566281917,0.4514389835433673,0.7074926934650617
0.25740157049938966,1.0,Аптека,2692,210,0.07800891530460624,0.07800891530460624,0.4832314538540944,0.8962645332105446
0.25740157049938966,1.0,Бытовая техника,2682,969,0.36129753914988816,0.36129753914988816,0.6208248643841893,0.7362697805948201
0.25740157049938966,1.0,Бытовая химия,2571,1226,0.4768572539867756,0.4768572539867756,0.6732363500320084,0.682611266426921
0.25740157049938966,1.0,Галантерея и аксессуары,2649,444,0.16761041902604756,0.16761041902604756,0.3528738798915285,0.7165757594329023
0.25740157049938966,1.0,Детские товары,2683,1528,0.569511740588893,0.569511740588893,0.7539189939711548,0.6977298225334876
0.25740157049938966,1.0,Дом и сад,2632,656,0.24924012158054712,0.24924012158054712,0.5272441274983274,0.7383923391675719
0.25740157049938966,1.0,Канцелярские товары,2570,857,0.33346303501945523,0.33346303501945523,0.5245585680190383,0.6828767043972204
0.25740157049938966,1.0,Красота и гигиена,2635,943,0.3578747628083491,0.3578747628083491,0.5888408805107568,0.7190778637666118
0.25740157049938966,1.0,Мебель,2806,401,0.1429080541696365,0.1429080541696365,0.34395211574623097,0.7114142917135436
0.25740157049938966,1.0,Музыкальные инструменты,2709,592,0.21853082318198597,0.21853082318198597,0.6503033487347004,0.8379048628221987
0.25740157049938966,1.0,Обувь,2797,281,0.10046478369681802,0.10046478369681802,0.25079830131538844,0.7318697701259979
0.25740157049938966,1.0,Одежда,3531,415,0.11753044463324837,0.11753044463324837,0.22775994414366216,0.7182660036809627
0.25740157049938966,1.0,Продукты питания,2685,754,0.2808193668528864,0.2808193668528864,0.5692030966943097,0.7245984474997493
0.25740157049938966,1.0,Спорт и отдых,2651,709,0.26744624669935874,0.26744624669935874,0.4987686546312058,0.7180621667279162
0.25740157049938966,1.0,Строительство и ремонт,2724,612,0.22466960352422907,0.22466960352422907,0.514966940444542,0.7667007854278074
0.25740157049938966,1.0,Товары для животных,2734,979,0.3580833942940746,0.3580833942940746,0.6116233117473011,0.7135131202546932
0.25740157049938966,1.0,Хобби и творчество,2680,1236,0.46119402985074626,0.46119402985074626,0.7416916723994953,0.7757479336435109
0.25740157049938966,1.0,Электроника,2748,471,0.17139737991266377,0.17139737991266377,0.42365811664340197,0.7739193839996942
0.25740157049938966,1.0,Ювелирные изделия,2849,333,0.11688311688311688,0.11688311688311688,0.22186224340044375,0.6648405161918676
0.262,0.9763650757412451,Автотовары,2859,512,0.17908359566281917,0.1826269785479933,0.4559517005017051,0.7074926934650714
0.262,0.9763650757412451,Аптека,2692,210,0.07800891530460624,0.07974669054663941,0.4881648461407342,0.8962645332105499
0.262,0.9763650757412451,Бытовая техника,2682,969,0.36129753914988816,0.3668351670161934,0.6258611114131336,0.7362697805948284
0.262,0.9763650757412451,Бытовая химия,2571,1226,0.4768572539867756,0.4828271408029823,0.6780882992734074,0.6826112664269266
0.262,0.9763650757412451,Галантерея и аксессуары,2649,444,0.16761041902604756,0.17097407138405346,0.35788339833053917,0.7165757594329136
0.262,0.9763650757412451,Детские товары,2683,1528,0.569511740588893,0.5753658332888332,0.7580827452335623,0.6977298225334889
0.262,0.9763650757412451,Дом и сад,2632,656,0.24924012158054712,0.25374256850391974,0.5323208821615534,0.7383923391675818
0.262,0.9763650757412451,Канцелярские товары,2570,857,0.33346303501945523,0.3388003434006266,0.5300541650280516,0.6828767043972308
0.262,0.9763650757412451,Красота и гигиена,2635,943,0.3578747628083491,0.3633897773240893,0.5941241654837436,0.7190778637666211
0.262,0.9763650757412451,Мебель,2806,401,0.1429080541696365,0.14586284198869556,0.3483930089592301,0.7114142917135549
0.262,0.9763650757412451,Музыкальные инструменты,2709,592,0.21853082318198597,0.22264303214979214,0.6545467273179326,0.8379048628222058
0.262,0.9763650757412451,Обувь,2797,281,0.10046478369681802,0.10264710704562591,0.2549861254110697,0.7318697701260091
0.262,0.9763650757412451,Одежда,3531,415,0.11753044463324837,0.12003400603272092,0.23193211666452826,0.7182660036809739
0.262,0.9763650757412451,Продукты питания,2685,754,0.2808193668528864,0.2856752111848671,0.5739793965410893,0.7245984474997588
0.262,0.9763650757412451,Спорт и отдых,2651,709,0.26744624669935874,0.27215835633063157,0.5041230010519384,0.7180621667279267
0.262,0.9763650757412451,Строительство и ремонт,2724,612,0.22466960352422907,0.22886349857254007,0.520078093468066,0.7667007854278167
0.262,0.9763650757412451,Товары для животных,2734,979,0.3580833942940746,0.363599803380583,0.6165839454473984,0.7135131202547024
0.262,0.9763650757412451,Хобби и творчество,2680,1236,0.46119402985074626,0.467142926045841,0.7458999388948947,0.775747933643516
0.262,0.9763650757412451,Электроника,2748,471,0.17139737991266377,0.1748210687594919,0.42903027238919467,0.7739193839997035
0.262,0.9763650757412451,Ювелирные изделия,2849,333,0.11688311688311688,0.1193747545876611,0.22579941135272527,0.66484051619188
0.2,1.3864913270688684,Автотовары,2859,512,0.17908359566281917,0.13594983141357023,0.391648976626809,0.7074926934650725
0.2,1.3864913270688684,Аптека,2692,210,0.07800891530460624,0.05751421155828566,0.41691301353182175,0.8962645332105494
0.2,1.3864913270688684,Бытовая техника,2682,969,0.36129753914988816,0.289767559005843,0.5505467698782948,0.7362697805948224
0.2,1.3864913270688684,Бытовая химия,2571,1226,0.4768572539867756,0.3966571014348768,0.6041113087346834,0.6826112664269175
0.2,1.3864913270688684,Галантерея и аксессуары,2649,444,0.16761041902604756,0.12681317940226686,0.2880513797361899,0.7165757594329132
