source,hard_label,pairs,target_mean,ratio_mean,ratio_p50,ratio_p90,token_set_mean,token_set_p50,token_set_p90,exact_name_rate,number_jaccard_mean
human,0,147753.0,0.0,57.74814224243164,56.62100601196289,85.71428680419922,76.27816009521484,80.48780822753906,100.0,0.011722266214560788,0.34982094168663025
human,1,52247.0,1.0,62.87027359008789,62.5,89.85507202148438,83.4203872680664,88.6597900390625,100.0,0.022604168660401554,0.5542464852333069
llm,0,152850.0,0.049130229346127284,52.498924255371094,50.0,80.18103332519536,71.95938873291016,73.68421173095703,100.0,0.02535819430814524,0.3251519799232483
llm,1,47150.0,0.8807446683162485,57.43289566040039,55.319149017333984,85.41666412353516,78.3546142578125,82.19178009033203,100.0,0.035949098621421,0.50156569480896
