prior,category,human_validation_prevalence,target_llm_prevalence,negative_weight,weighted_average_precision,weighted_roc_auc
llm_threshold,Автотовары,0.17908359566281917,0.3181240242976206,0.46759062275512314,0.599369636802741,0.7074926934650574
llm_threshold,Аптека,0.07800891530460624,0.19280458126620306,0.3542247128499321,0.6907047655424075,0.8962645332105459
llm_threshold,Бытовая техника,0.36129753914988816,0.30146258584009816,1.3107584502620435,0.5627619858268669,0.7362697805948231
llm_threshold,Бытовая химия,0.4768572539867756,0.4154354884505214,1.2826171385345888,0.6209997709306633,0.6826112664269167
llm_threshold,Галантерея и аксессуары,0.16761041902604756,0.09934485352084599,1.8255239604278877,0.23940970675039006,0.7165757594328938
llm_threshold,Детские товары,0.569511740588893,0.29800757044521087,3.1163519666500012,0.5165912399623845,0.6977298225334938
llm_threshold,Дом и сад,0.24924012158054712,0.2340406218086917,1.0865041606619688,0.5096399925767624,0.7383923391675669
llm_threshold,Канцелярские товары,0.33346303501945523,0.25475558185518205,1.4635193955601724,0.437796046124641,0.6828767043972118
llm_threshold,Красота и гигиена,0.3578747628083491,0.30320272131674814,1.2808099272653204,0.5335461752267029,0.7190778637666178
llm_threshold,Мебель,0.1429080541696365,0.17695168734056432,0.7755323396128944,0.39287992394674376,0.71141429171355
llm_threshold,Музыкальные инструменты,0.21853082318198597,0.34750181800552676,0.5250770947991686,0.7578136158860146,0.8379048628221952
llm_threshold,Обувь,0.10046478369681802,0.06008367605027344,1.7471427061709555,0.16601631250502993,0.7318697701259979
llm_threshold,Одежда,0.11753044463324837,0.05171043097896093,2.4423812865441565,0.10870525735532147,0.718266003680971
llm_threshold,Продукты питания,0.2808193668528864,0.29525689371779795,0.9320084760918536,0.5832539907486403,0.7245984474997458
llm_threshold,Спорт и отдых,0.26744624669935874,0.24013044845311826,1.155284163393716,0.466621112013137,0.7180621667279115
llm_threshold,Строительство и ремонт,0.22466960352422907,0.2778591729855567,0.7531035044498434,0.5756125376083833,0.7667007854278126
llm_threshold,Товары для животных,0.3580833942940746,0.3533859831730217,1.0207076416854737,0.6073604727135566,0.7135131202546934
llm_threshold,Хобби и творчество,0.46119402985074626,0.25764317967946426,2.466296747088632,0.5587088984841434,0.7757479336435081
llm_threshold,Электроника,0.17139737991266377,0.1270005136106831,1.4218912687282945,0.3471565181507398,0.7739193839996992
llm_threshold,Ювелирные изделия,0.11688311688311688,0.1104557548577115,1.0658910194661135,0.2115969863211689,0.6648405161918675
llm_soft_mean,Автотовары,0.17908359566281917,0.31903996592959094,0.4656219065653105,0.6001946392553006,0.7074926934650543
llm_soft_mean,Аптека,0.07800891530460624,0.21026656652970047,0.3177809205544672,0.7101894819630411,0.8962645332105448
llm_soft_mean,Бытовая техника,0.36129753914988816,0.31016189984850945,1.2581289128084816,0.5716509926963018,0.7362697805948119
llm_soft_mean,Бытовая химия,0.4768572539867756,0.42181699091395086,1.2494228423680287,0.6266356004420497,0.6826112664269157
llm_soft_mean,Галантерея и аксессуары,0.16761041902604756,0.1082368031832044,1.6590098501005839,0.25566399422875485,0.7165757594329022
llm_soft_mean,Детские товары,0.569511740588893,0.3006787323121739,3.076914267578207,0.5194945801271674,0.697729822533484
llm_soft_mean,Дом и сад,0.24924012158054712,0.24145914979910213,1.042922906064515,0.5183242060852425,0.7383923391675613
llm_soft_mean,Канцелярские товары,0.33346303501945523,0.2616423956393937,1.4118289859554836,0.4458573325351884,0.682876704397228
llm_soft_mean,Красота и гигиена,0.3578747628083491,0.30860526689926976,1.2486308678849765,0.5392625267744253,0.719077863766606
llm_soft_mean,Мебель,0.1429080541696365,0.20912865535380284,0.6305529865826669,0.43518169501904874,0.7114142917135404
llm_soft_mean,Музыкальные инструменты,0.21853082318198597,0.3472510140430827,0.525658306887887,0.7576441560100614,0.8379048628221952
llm_soft_mean,Обувь,0.10046478369681802,0.06645657242374618,1.5688891898772614,0.1804316665973763,0.7318697701259911
llm_soft_mean,Одежда,0.11753044463324837,0.06101435403845236,2.049639977956125,0.1267246885656903,0.7182660036809542
llm_soft_mean,Продукты питания,0.2808193668528864,0.3154680355449903,0.8472809523300985,0.6022001471027671,0.7245984474997441
llm_soft_mean,Спорт и отдых,0.26744624669935874,0.24825016594479665,1.1055561454658707,0.47638197145337,0.7180621667279211
llm_soft_mean,Строительство и ремонт,0.22466960352422907,0.28683866882833553,0.7204562228767649,0.5850396778537345,0.7667007854278023
llm_soft_mean,Товары для животных,0.3580833942940746,0.3662505770295979,0.9652611574234929,0.6189504802826402,0.713513120254702
llm_soft_mean,Хобби и творчество,0.46119402985074626,0.2577803633970336,2.464528734457789,0.5588668573329618,0.775747933643514
llm_soft_mean,Электроника,0.17139737991266377,0.13792330080465673,1.2929035893373477,0.36726899945685243,0.7739193839996834
llm_soft_mean,Ювелирные изделия,0.11688311688311688,0.12484303177819925,0.9278018731636178,0.23435950661775906,0.6648405161918771
