method,hard,iid,ood,mean_macro_ap
bge,0.376408555384703,0.7800717774401389,0.6365235077978559,0.5976679468742326
mini_40,0.37707066685874224,0.7883215802913788,0.6385212913725211,0.6013045128408807
mini_40_ru_5,0.3767918087586734,0.7892377462021465,0.6401140735427291,0.6020478761678497
