split,method,macro_ap
iid,bge,0.7800717774401389
iid,mini_40,0.7883215802913788
iid,mini_40_ru_5,0.7892377462021465
hard,bge,0.376408555384703
hard,mini_40,0.37707066685874224
hard,mini_40_ru_5,0.3767918087586734
ood,bge,0.6365235077978559
ood,mini_40,0.6385212913725211
ood,mini_40_ru_5,0.6401140735427291
