feature,macro_ap,overall_ap
name_token_set_ratio,0.36299070903480546,0.3513395718601618
numeric_jaccard,0.3369084976279294,0.35899601330382963
name_token_sort_ratio,0.3214736067338258,0.31039450759785225
name_ratio,0.30603675533922103,0.30798062542612786
identifier_overlap,0.29514731564563224,0.2851010520228221
attr_value_conflict_ratio,0.2949119878875528,0.3110790927805624
attr_value_match_ratio,0.27110621948603375,0.25609498567449096
name_exact,0.26955793233880676,0.25992275388044905
brand_equal,0.266399067820131,0.25672451846062727
matching_attr_values,0.2660912838299671,0.23964299252308188
brand_conflict,0.2623018870439303,0.25772230560803516
attr_exact,0.2611126186277738,0.2567727961406138
name_length_ratio,0.25632836954033816,0.24936472737363596
attr_key_jaccard,0.25401854273268804,0.23360388675472765
shared_attr_keys,0.24550927903533104,0.21418630660131577
