split,routing,priority,specialist,route_budget,score_mode,route_coverage,minilm_coverage,rumodernbert_coverage,macro_ap,baseline_bge_macro_ap,delta_vs_bge,routed_pairs,routing_uses_labels
iid,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.15,replace,0.15,0.0,0.15,0.7821788770335556,0.7822219461825138,-4.306914895824132e-05,1800,False
iid,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.15,blend_50_50,0.15,0.0,0.15,0.785003359260798,0.7822219461825138,0.0027814130782841673,1800,False
iid,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.15,blend_specialist_25,0.15,0.0,0.15,0.7840980291124618,0.7822219461825138,0.0018760829299480086,1800,False
iid,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.2,replace,0.2,0.0,0.2,0.7805305433276248,0.7822219461825138,-0.0016914028548890014,2400,False
iid,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.2,blend_50_50,0.2,0.0,0.2,0.785509677557598,0.7822219461825138,0.003287731375084202,2400,False
iid,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.2,blend_specialist_25,0.2,0.0,0.2,0.7845268682227909,0.7822219461825138,0.002304922040277102,2400,False
iid,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.3,replace,0.3,0.0,0.3,0.7764272597810841,0.7822219461825138,-0.005794686401429772,3600,False
iid,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.3,blend_50_50,0.3,0.0,0.3,0.7855005727247443,0.7822219461825138,0.003278626542230434,3600,False
iid,uncertainty_abs_rumodernbert,uncertainty_abs,rumodernbert,0.3,blend_specialist_25,0.3,0.0,0.3,0.784991912394026,0.7822219461825138,0.0027699662115121537,3600,False
iid,domain_conflict_minilm,domain_conflict,minilm,0.05,replace,0.05,0.05,0.0,0.7825698746879206,0.7822219461825138,0.00034792850540676934,600,False
iid,domain_conflict_minilm,domain_conflict,minilm,0.05,blend_50_50,0.05,0.05,0.0,0.7842987499228505,0.7822219461825138,0.002076803740336697,600,False
iid,domain_conflict_minilm,domain_conflict,minilm,0.05,blend_specialist_25,0.05,0.05,0.0,0.7835555123213043,0.7822219461825138,0.0013335661387904318,600,False
iid,domain_conflict_minilm,domain_conflict,minilm,0.1,replace,0.1,0.1,0.0,0.7838610578859405,0.7822219461825138,0.0016391117034266767,1200,False
iid,domain_conflict_minilm,domain_conflict,minilm,0.1,blend_50_50,0.1,0.1,0.0,0.7860577339684801,0.7822219461825138,0.0038357877859662715,1200,False
iid,domain_conflict_minilm,domain_conflict,minilm,0.1,blend_specialist_25,0.1,0.1,0.0,0.784852429055211,0.7822219461825138,0.002630482872697182,1200,False
iid,domain_conflict_minilm,domain_conflict,minilm,0.15,replace,0.15,0.15,0.0,0.7839881768351602,0.7822219461825138,0.0017662306526463611,1800,False
iid,domain_conflict_minilm,domain_conflict,minilm,0.15,blend_50_50,0.15,0.15,0.0,0.7869209965772099,0.7822219461825138,0.0046990503946960915,1800,False
iid,domain_conflict_minilm,domain_conflict,minilm,0.15,blend_specialist_25,0.15,0.15,0.0,0.7853213555518501,0.7822219461825138,0.003099409369336281,1800,False
iid,domain_conflict_minilm,domain_conflict,minilm,0.2,replace,0.2,0.2,0.0,0.7849671266514247,0.7822219461825138,0.002745180468910813,2400,False
iid,domain_conflict_minilm,domain_conflict,minilm,0.2,blend_50_50,0.2,0.2,0.0,0.7884743504115667,0.7822219461825138,0.0062524042290528214,2400,False
iid,domain_conflict_minilm,domain_conflict,minilm,0.2,blend_specialist_25,0.2,0.2,0.0,0.7862800419938831,0.7822219461825138,0.004058095811369289,2400,False
iid,domain_conflict_minilm,domain_conflict,minilm,0.3,replace,0.3,0.3,0.0,0.7850929660519671,0.7822219461825138,0.002871019869453262,3600,False
iid,domain_conflict_minilm,domain_conflict,minilm,0.3,blend_50_50,0.3,0.3,0.0,0.7893261078625431,0.7822219461825138,0.007104161680029253,3600,False
iid,domain_conflict_minilm,domain_conflict,minilm,0.3,blend_specialist_25,0.3,0.3,0.0,0.7866527791983199,0.7822219461825138,0.004430833015806046,3600,False
iid,domain_conflict_rumodernbert,domain_conflict,rumodernbert,0.05,replace,0.05,0.0,0.05,0.7797119787101445,0.7822219461825138,-0.002509967472369312,600,False
iid,domain_conflict_rumodernbert,domain_conflict,rumodernbert,0.05,blend_50_50,0.05,0.0,0.05,0.7823378581361776,0.7822219461825138,0.00011591195366378315,600,False
iid,domain_conflict_rumodernbert,domain_conflict,rumodernbert,0.05,blend_specialist_25,0.05,0.0,0.05,0.7824414840971388,0.7822219461825138,0.00021953791462492322,600,False
iid,domain_conflict_rumodernbert,domain_conflict,rumodernbert,0.1,replace,0.1,0.0,0.1,0.7825217109212289,0.7822219461825138,0.00029976473871506926,1200,False
iid,domain_conflict_rumodernbert,domain_conflict,rumodernbert,0.1,blend_50_50,0.1,0.0,0.1,0.7846009166288046,0.7822219461825138,0.0023789704462907624,1200,False
iid,domain_conflict_rumodernbert,domain_conflict,rumodernbert,0.1,blend_specialist_25,0.1,0.0,0.1,0.7837836037416618,0.7822219461825138,0.0015616575591479442,1200,False
iid,domain_conflict_rumodernbert,domain_conflict,rumodernbert,0.15,replace,0.15,0.0,0.15,0.7836267684639733,0.7822219461825138,0.001404822281459439,1800,False
iid,domain_conflict_rumodernbert,domain_conflict,rumodernbert,0.15,blend_50_50,0.15,0.0,0.15,0.7859126048009533,0.7822219461825138,0.003690658618439424,1800,False
iid,domain_conflict_rumodernbert,domain_conflict,rumodernbert,0.15,blend_specialist_25,0.15,0.0,0.15,0.7845241436946107,0.7822219461825138,0.0023021975120968152,1800,False
iid,domain_conflict_rumodernbert,domain_conflict,rumodernbert,0.2,replace,0.2,0.0,0.2,0.7794142834293887,0.7822219461825138,-0.002807662753125162,2400,False
iid,domain_conflict_rumodernbert,domain_conflict,rumodernbert,0.2,blend_50_50,0.2,0.0,0.2,0.7852902090261816,0.7822219461825138,0.0030682628436677906,2400,False
iid,domain_conflict_rumodernbert,domain_conflict,rumodernbert,0.2,blend_specialist_25,0.2,0.0,0.2,0.7843779896459222,0.7822219461825138,0.0021560434634083636,2400,False
iid,domain_conflict_rumodernbert,domain_conflict,rumodernbert,0.3,replace,0.3,0.0,0.3,0.7786901206047754,0.7822219461825138,-0.0035318255777384566,3600,False
iid,domain_conflict_rumodernbert,domain_conflict,rumodernbert,0.3,blend_50_50,0.3,0.0,0.3,0.7862799934819713,0.7822219461825138,0.004058047299457468,3600,False
