routing,specialist,coverage,minilm_coverage,rumodernbert_coverage,score_mode,iid_ap,iid_delta,hard_ap,hard_delta,ood_ap,ood_delta,estimated_private_t4_seconds,estimated_private_t4_minutes,runtime_multiplier_vs_bge,specialist_overhead_seconds,iid_oracle_gain,iid_oracle_capture,hard_oracle_gain,hard_oracle_capture,ood_oracle_gain,ood_oracle_capture,runtime_basis,oof_approved
full_bge,BGE,0.0,0.0,0.0,baseline_fixed,0.7822219461825138,0.0,0.3759746515593398,0.0,0.6412704537924441,0.0,4703.48549979494,78.39142499658233,1.0,0.0,,,,,,,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
full_bge_minilm_50_50,BGE+MiniLM,1.0,1.0,0.0,baseline_fixed,0.7928572484420844,0.010635302259570545,0.37347953928110134,-0.002495112278238454,0.6413150923060148,4.4638513570727234e-05,5499.836350732208,91.66393917887014,1.169310791108421,796.3508509372683,,,,,,,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
full_bge_rumodernbert_50_50,BGE+RuModernBERT,1.0,0.0,1.0,baseline_fixed,0.788812108779721,0.006590162597207128,0.3632315672981379,-0.012743084261201909,0.6494011463110853,0.00813069251864118,7308.027251209636,121.80045418682727,1.5537471629344342,2604.541751414697,,,,,,,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
full_triple_equal,BGE+MiniLM+RuModernBERT,1.0,1.0,1.0,baseline_fixed,0.7966345880718311,0.014412641889317235,0.3661327888052932,-0.009841862754046582,0.648387111308492,0.007116657516047953,8104.378102146906,135.0729683691151,1.7230579540428554,3400.8926023519653,,,,,,,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_abs_minilm,minilm,0.05,0.05,0.0,replace,0.7826174041737255,0.00039545799121165626,0.3761552782126291,0.0001806266532893286,0.6369648860735649,-0.004305567718879133,4744.143455091803,79.06905758486339,1.0086442182714577,40.65795529686341,0.0429961482122533,0.00919752135143483,0.0260615540916422,0.0069307706153738,0.0722915758497191,-0.05955836026910822,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_abs_minilm,minilm,0.05,0.05,0.0,blend_50_50,0.7835035172683468,0.0012815710858329332,0.37637781539855736,0.0004031638392175685,0.6412405325085342,-2.992128390988391e-05,4744.143455091803,79.06905758486339,1.0086442182714577,40.65795529686341,0.0429961482122533,0.029806648714353984,0.0260615540916422,0.015469677587142086,0.0722915758497191,-0.00041389724263425604,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_abs_minilm,minilm,0.05,0.05,0.0,blend_specialist_25,0.7833223292662563,0.0011003830837424955,0.37608094722949426,0.00010629567015446595,0.6415625038447075,0.00029205005226340397,4744.143455091803,79.06905758486339,1.0086442182714577,40.65795529686341,0.0429961482122533,0.02559259676728209,0.0260615540916422,0.004078638970672681,0.0722915758497191,0.0040398905243194914,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_abs_minilm,minilm,0.1,0.1,0.0,replace,0.7850009339326,0.002778987750086115,0.3749127157855811,-0.001061935773758682,0.6319840640842748,-0.009286389708169307,4783.916765388666,79.7319460898111,1.0171003536839294,80.43126559372683,0.0585071729500699,0.04749824012959414,0.0454446298764017,-0.02336768451293119,0.0961089035392828,-0.0966236151510527,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_abs_minilm,minilm,0.1,0.1,0.0,blend_50_50,0.7859586758690598,0.0037367296865459254,0.3761001376760676,0.00012548611672780208,0.639927007638909,-0.0013434461535350994,4783.916765388666,79.7319460898111,1.0171003536839294,80.43126559372683,0.0585071729500699,0.06386789000615113,0.0454446298764017,0.0027612969248312436,0.0961089035392828,-0.013978373533165842,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_abs_minilm,minilm,0.1,0.1,0.0,blend_specialist_25,0.7847103560759032,0.0024884098933893872,0.376227589832938,0.0002529382735982355,0.6414850308598902,0.00021457706744609784,4783.916765388666,79.7319460898111,1.0171003536839294,80.43126559372683,0.0585071729500699,0.042531706249300395,0.0454446298764017,0.005565856170160608,0.0961089035392828,0.0022326450468597146,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_abs_minilm,minilm,0.15,0.15,0.0,replace,0.78523718713535,0.003015240952836118,0.37547633533433233,-0.0004983162250074558,0.6300141735572007,-0.011256280235243388,4823.69007568553,80.39483459475883,1.0255564890964013,120.20457589059025,0.068891474807348,0.0437679837928874,0.0600838332534104,-0.008293682310610085,0.1061990280962545,-0.10599230931794545,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_abs_minilm,minilm,0.15,0.15,0.0,blend_50_50,0.7875642946405619,0.005342348458048041,0.3764052232510698,0.0004305716917299973,0.6405589380913018,-0.0007115157011422513,4823.69007568553,80.39483459475883,1.0255564890964013,120.20457589059025,0.068891474807348,0.07754730861819528,0.0600838332534104,0.0071661821228018565,0.1061990280962545,-0.006699832511624892,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_abs_minilm,minilm,0.15,0.15,0.0,blend_specialist_25,0.7854943903538744,0.0032724441713605223,0.37634235568849245,0.00036770412915265727,0.6421708634927553,0.0009004097003112443,4823.69007568553,80.39483459475883,1.0255564890964013,120.20457589059025,0.068891474807348,0.04750143875583691,0.0600838332534104,0.006119851368367649,0.1061990280962545,0.008478511681812656,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_abs_minilm,minilm,0.2,0.2,0.0,replace,0.784466262449422,0.0022443162669081307,0.37436037642208364,-0.0016142751372561492,0.6296396243615185,-0.011630829430925527,4863.463385982393,81.05772309970656,1.034012624508873,159.97788618745366,0.0741097081037988,0.030283701344022553,0.0698847951392883,-0.02309908949491397,0.1119305003366963,-0.10391117162827844,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_abs_minilm,minilm,0.2,0.2,0.0,blend_50_50,0.7881903471389068,0.00596840095639295,0.37617222008167445,0.00019756852233465683,0.6414958778912199,0.00022542409877579495,4863.463385982393,81.05772309970656,1.034012624508873,159.97788618745366,0.0741097081037988,0.08053467095071468,0.0698847951392883,0.0028270601915750117,0.1119305003366963,0.002013964898733593,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_abs_minilm,minilm,0.2,0.2,0.0,blend_specialist_25,0.7857853758883412,0.003563429705827348,0.3758728495726002,-0.0001018019867395914,0.6431119917674922,0.0018415379750481575,4863.463385982393,81.05772309970656,1.034012624508873,159.97788618745366,0.0741097081037988,0.04808317016761653,0.0698847951392883,-0.001456711528404548,0.1119305003366963,0.016452512670886463,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_abs_minilm,minilm,0.3,0.3,0.0,replace,0.7839722695943617,0.0017503234118478872,0.3747696738503587,-0.001204977708981092,0.6259122989942698,-0.015358154798174262,4943.01000657612,82.383500109602,1.0509248953338164,239.5245067811805,0.0793111187125509,0.022069079849845828,0.0835883820342163,-0.014415612309469552,0.116965798427694,-0.13130466345397862,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_abs_minilm,minilm,0.3,0.3,0.0,blend_50_50,0.7894070298391606,0.007185083656646718,0.37678265540502776,0.0008080038456879657,0.6414048182245434,0.00013436443209935423,4943.01000657612,82.383500109602,1.0509248953338164,239.5245067811805,0.0793111187125509,0.09059364907823053,0.0835883820342163,0.009666461128021537,0.116965798427694,0.001148749753394072,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_abs_minilm,minilm,0.3,0.3,0.0,blend_specialist_25,0.786917079934705,0.004695133752191216,0.37665125897224355,0.0006766074129037625,0.6437273581833376,0.0024569043908935218,4943.01000657612,82.383500109602,1.0509248953338164,239.5245067811805,0.0793111187125509,0.05919893488336606,0.0835883820342163,0.008094515008399111,0.116965798427694,0.021005323127959774,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_entropy_minilm,minilm,0.05,0.05,0.0,replace,0.7826174041737255,0.00039545799121165626,0.3761552782126291,0.0001806266532893286,0.6369648860735649,-0.004305567718879133,4744.143455091803,79.06905758486339,1.0086442182714577,40.65795529686341,0.0429961482122533,0.00919752135143483,0.0260615540916422,0.0069307706153738,0.0722915758497191,-0.05955836026910822,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_entropy_minilm,minilm,0.05,0.05,0.0,blend_50_50,0.7835035172683468,0.0012815710858329332,0.37637781539855736,0.0004031638392175685,0.6412405325085342,-2.992128390988391e-05,4744.143455091803,79.06905758486339,1.0086442182714577,40.65795529686341,0.0429961482122533,0.029806648714353984,0.0260615540916422,0.015469677587142086,0.0722915758497191,-0.00041389724263425604,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_entropy_minilm,minilm,0.05,0.05,0.0,blend_specialist_25,0.7833223292662563,0.0011003830837424955,0.37608094722949426,0.00010629567015446595,0.6415625038447075,0.00029205005226340397,4744.143455091803,79.06905758486339,1.0086442182714577,40.65795529686341,0.0429961482122533,0.02559259676728209,0.0260615540916422,0.004078638970672681,0.0722915758497191,0.0040398905243194914,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_entropy_minilm,minilm,0.1,0.1,0.0,replace,0.7850009339326,0.002778987750086115,0.3749127157855811,-0.001061935773758682,0.6319840640842748,-0.009286389708169307,4783.916765388666,79.7319460898111,1.0171003536839294,80.43126559372683,0.0585071729500699,0.04749824012959414,0.0454446298764017,-0.02336768451293119,0.0961089035392828,-0.0966236151510527,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_entropy_minilm,minilm,0.1,0.1,0.0,blend_50_50,0.7859586758690598,0.0037367296865459254,0.3761001376760676,0.00012548611672780208,0.639927007638909,-0.0013434461535350994,4783.916765388666,79.7319460898111,1.0171003536839294,80.43126559372683,0.0585071729500699,0.06386789000615113,0.0454446298764017,0.0027612969248312436,0.0961089035392828,-0.013978373533165842,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_entropy_minilm,minilm,0.1,0.1,0.0,blend_specialist_25,0.7847103560759032,0.0024884098933893872,0.376227589832938,0.0002529382735982355,0.6414850308598902,0.00021457706744609784,4783.916765388666,79.7319460898111,1.0171003536839294,80.43126559372683,0.0585071729500699,0.042531706249300395,0.0454446298764017,0.005565856170160608,0.0961089035392828,0.0022326450468597146,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_entropy_minilm,minilm,0.15,0.15,0.0,replace,0.78523718713535,0.003015240952836118,0.37547633533433233,-0.0004983162250074558,0.6300141735572007,-0.011256280235243388,4823.69007568553,80.39483459475883,1.0255564890964013,120.20457589059025,0.068891474807348,0.0437679837928874,0.0600838332534104,-0.008293682310610085,0.1061990280962545,-0.10599230931794545,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_entropy_minilm,minilm,0.15,0.15,0.0,blend_50_50,0.7875642946405619,0.005342348458048041,0.3764052232510698,0.0004305716917299973,0.6405589380913018,-0.0007115157011422513,4823.69007568553,80.39483459475883,1.0255564890964013,120.20457589059025,0.068891474807348,0.07754730861819528,0.0600838332534104,0.0071661821228018565,0.1061990280962545,-0.006699832511624892,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_entropy_minilm,minilm,0.15,0.15,0.0,blend_specialist_25,0.7854943903538744,0.0032724441713605223,0.37634235568849245,0.00036770412915265727,0.6421708634927553,0.0009004097003112443,4823.69007568553,80.39483459475883,1.0255564890964013,120.20457589059025,0.068891474807348,0.04750143875583691,0.0600838332534104,0.006119851368367649,0.1061990280962545,0.008478511681812656,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_entropy_minilm,minilm,0.2,0.2,0.0,replace,0.784466262449422,0.0022443162669081307,0.37436037642208364,-0.0016142751372561492,0.6296396243615185,-0.011630829430925527,4863.463385982393,81.05772309970656,1.034012624508873,159.97788618745366,0.0741097081037988,0.030283701344022553,0.0698847951392883,-0.02309908949491397,0.1119305003366963,-0.10391117162827844,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_entropy_minilm,minilm,0.2,0.2,0.0,blend_50_50,0.7881903471389068,0.00596840095639295,0.37617222008167445,0.00019756852233465683,0.6414958778912199,0.00022542409877579495,4863.463385982393,81.05772309970656,1.034012624508873,159.97788618745366,0.0741097081037988,0.08053467095071468,0.0698847951392883,0.0028270601915750117,0.1119305003366963,0.002013964898733593,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_entropy_minilm,minilm,0.2,0.2,0.0,blend_specialist_25,0.7857853758883412,0.003563429705827348,0.3758728495726002,-0.0001018019867395914,0.6431119917674922,0.0018415379750481575,4863.463385982393,81.05772309970656,1.034012624508873,159.97788618745366,0.0741097081037988,0.04808317016761653,0.0698847951392883,-0.001456711528404548,0.1119305003366963,0.016452512670886463,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_entropy_minilm,minilm,0.3,0.3,0.0,replace,0.7839722695943617,0.0017503234118478872,0.3747696738503587,-0.001204977708981092,0.6259122989942698,-0.015358154798174262,4943.01000657612,82.383500109602,1.0509248953338164,239.5245067811805,0.0793111187125509,0.022069079849845828,0.0835883820342163,-0.014415612309469552,0.116965798427694,-0.13130466345397862,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_entropy_minilm,minilm,0.3,0.3,0.0,blend_50_50,0.7894070298391606,0.007185083656646718,0.37678265540502776,0.0008080038456879657,0.6414048182245434,0.00013436443209935423,4943.01000657612,82.383500109602,1.0509248953338164,239.5245067811805,0.0793111187125509,0.09059364907823053,0.0835883820342163,0.009666461128021537,0.116965798427694,0.001148749753394072,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_entropy_minilm,minilm,0.3,0.3,0.0,blend_specialist_25,0.786917079934705,0.004695133752191216,0.37665125897224355,0.0006766074129037625,0.6437273581833376,0.0024569043908935218,4943.01000657612,82.383500109602,1.0509248953338164,239.5245067811805,0.0793111187125509,0.05919893488336606,0.0835883820342163,0.008094515008399111,0.116965798427694,0.021005323127959774,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_abs_rumodernbert,rumodernbert,0.05,0.0,0.05,replace,0.7801889864794496,-0.0020329597030642743,0.3742926885579605,-0.0016819630013792941,0.6407680691658582,-0.0005023846265859166,4837.375566965675,80.62292611609458,1.028466137968656,133.89006717073488,0.0436568273748866,-0.0465668218537045,0.024690830290946,-0.06812095751984741,0.0717356404684852,-0.007003277914645839,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
uncertainty_abs_rumodernbert,rumodernbert,0.05,0.0,0.05,blend_50_50,0.7822354010819306,1.3454899416731614e-05,0.37527010262683397,-0.0007045489325058218,0.6427421405310121,0.0014716867385680121,4837.375566965675,80.62292611609458,1.028466137968656,133.89006717073488,0.0436568273748866,0.000308196912734696,0.024690830290946,-0.028534841647839454,0.0717356404684852,0.02051541923870536,one_T4_275k_throughput_extrapolation_using_IID_expert_mix,False
