kind,pattern,support,negative_support,positive_support,positive_rate,fpr,fnr,false_positives,false_negatives
char,для,9604,6464,3140,0.32694710537276134,0.10612623762376237,0.5945859872611465,686,1867
char,ный,6058,4278,1780,0.2938263453284913,0.07877512856474989,0.5921348314606741,337,1054
char,ная,4014,2756,1258,0.31340308918784254,0.11937590711175616,0.5190779014308426,329,653
char,ель,3363,2245,1118,0.33244127267320844,0.11804008908685969,0.5509838998211091,265,616
char,0мл,2288,1370,918,0.4012237762237762,0.17372262773722627,0.5,238,459
char,льн,3731,2510,1221,0.32725810774591263,0.09402390438247012,0.5454545454545454,236,666
char,кая,1786,1189,597,0.33426651735722285,0.17325483599663583,0.4154103852596315,206,248
char,ств,1481,873,608,0.41053342336259285,0.22107674684994272,0.42269736842105265,193,257
char,ска,2460,1781,679,0.2760162601626016,0.10668163952835485,0.5331369661266568,190,362
char,вет,3911,3076,835,0.2135003835336231,0.06079323797139142,0.5281437125748503,187,441
char,сти,2386,1604,782,0.32774518021793797,0.11658354114713217,0.5115089514066496,187,400
char,игр,1203,493,710,0.5901911886949294,0.3711967545638945,0.2577464788732394,183,183
char,чес,2212,1569,643,0.2906871609403255,0.11536010197578075,0.5116640746500778,181,329
char,шка,1748,1125,623,0.35640732265446223,0.15733333333333333,0.39325842696629215,177,245
char,або,1520,789,731,0.48092105263157897,0.22053231939163498,0.3748290013679891,174,274
char,тво,1127,623,504,0.4472049689440994,0.27608346709470305,0.3968253968253968,172,200
char,аль,2769,1913,856,0.3091368725171542,0.08886565603763721,0.5969626168224299,170,511
char,еск,2519,1855,664,0.2635966653433902,0.08948787061994609,0.5662650602409639,166,376
char,бор,1620,899,721,0.44506172839506175,0.1835372636262514,0.39944521497919555,165,288
char,вод,1301,790,511,0.3927747886241353,0.20759493670886076,0.5048923679060665,164,258
char,ушк,919,454,465,0.5059847660500544,0.3590308370044053,0.35053763440860214,163,163
char,тор,2475,1670,805,0.32525252525252524,0.09221556886227544,0.48074534161490684,154,387
char,наб,1335,709,626,0.4689138576779026,0.21297602256699577,0.3769968051118211,151,236
char,иче,2062,1490,572,0.27740058195926287,0.09932885906040269,0.5472027972027972,148,313
char,тел,2020,1296,724,0.3584158415841584,0.11419753086419752,0.5662983425414365,148,410
char,ушка,820,399,421,0.5134146341463415,0.37092731829573933,0.34441805225653205,148,145
char,кон,1797,1097,700,0.38953811908736785,0.13309024612579762,0.44857142857142857,146,314
char,ляс,1209,793,416,0.34408602150537637,0.1841109709962169,0.5408653846153846,146,225
char,цве,3026,2496,530,0.1751487111698612,0.05809294871794872,0.46226415094339623,145,245
char,ичес,1996,1442,554,0.2775551102204409,0.10055478502080444,0.5415162454873647,145,300
char,абор,1292,676,616,0.47678018575851394,0.21449704142011836,0.36688311688311687,145,226
char,гру,857,430,427,0.4982497082847141,0.3372093023255814,0.32786885245901637,145,140
char,цвет,3015,2489,526,0.17446102819237147,0.05785456006428284,0.45817490494296575,144,241
