kind,pattern,support,negative_support,positive_support,positive_rate,fpr,fnr,false_positives,false_negatives
word,ноутбука,133,115,18,0.13533834586466165,0.02608695652173913,1.0,3,18
word,очки для зрения,131,131,0,0.0,0.022900763358778626,,3,0
word,mm,124,105,19,0.1532258064516129,0.02857142857142857,0.8947368421052632,3,17
word,черные,123,107,16,0.13008130081300814,0.028037383177570093,0.75,3,12
word,мебельный,121,118,3,0.024793388429752067,0.025423728813559324,0.3333333333333333,3,1
word,125,114,93,21,0.18421052631578946,0.03225806451612903,0.6666666666666666,3,14
word,5 мм,107,79,28,0.2616822429906542,0.0379746835443038,0.6785714285714286,3,19
word,наручные часы,107,100,7,0.06542056074766354,0.03,0.2857142857142857,3,2
word,электрогитара,106,92,14,0.1320754716981132,0.03260869565217391,0.7142857142857143,3,10
word,рц,1286,1279,7,0.005443234836702955,0.001563721657544957,0.5714285714285714,2,4
word,линзами,1271,1264,7,0.0055074744295830055,0.0015822784810126582,0.5714285714285714,2,4
word,мод,1267,1259,8,0.006314127861089187,0.0015885623510722795,0.625,2,5
word,с линзами,1176,1170,6,0.00510204081632653,0.0017094017094017094,0.5,2,3
word,угловой,379,349,30,0.079155672823219,0.0057306590257879654,0.9666666666666667,2,29
word,1 с,292,287,5,0.017123287671232876,0.006968641114982578,0.6,2,3
word,стол,286,253,33,0.11538461538461539,0.007905138339920948,0.8181818181818182,2,27
word,струны для,271,208,63,0.23247232472324722,0.009615384615384616,0.5873015873015873,2,37
word,солнцезащитные,251,245,6,0.02390438247011952,0.00816326530612245,0.8333333333333334,2,5
word,картридж,194,157,37,0.19072164948453607,0.012738853503184714,0.9459459459459459,2,35
