level,signature,scope_category,concept,relation,all_pair_support,all_label0,all_label1,all_singleton_support,all_singleton_label0,all_singleton_label1,all_example_pair_ids,all_example_value_pairs,all_baseline_singletons,all_baseline_label0,all_baseline_label1,all_singleton_p0,all_singleton_p1,all_baseline_p0,all_baseline_p1,all_singleton_p0_lcb95,all_singleton_p0_ucb95,all_singleton_p1_lcb95,all_singleton_p1_ucb95,all_p_value_label0,all_p_value_label1,all_q_value_label0,all_q_value_label1,discovery_pair_support,discovery_label0,discovery_label1,discovery_singleton_support,discovery_singleton_label0,discovery_singleton_label1,discovery_example_pair_ids,discovery_example_value_pairs,discovery_baseline_singletons,discovery_baseline_label0,discovery_baseline_label1,discovery_singleton_p0,discovery_singleton_p1,discovery_baseline_p0,discovery_baseline_p1,discovery_singleton_p0_lcb95,discovery_singleton_p0_ucb95,discovery_singleton_p1_lcb95,discovery_singleton_p1_ucb95,discovery_p_value_label0,discovery_p_value_label1,discovery_q_value_label0,discovery_q_value_label1,validation_pair_support,validation_label0,validation_label1,validation_singleton_support,validation_singleton_label0,validation_singleton_label1,validation_example_pair_ids,validation_example_value_pairs,validation_baseline_singletons,validation_baseline_label0,validation_baseline_label1,validation_singleton_p0,validation_singleton_p1,validation_baseline_p0,validation_baseline_p1,validation_singleton_p0_lcb95,validation_singleton_p0_ucb95,validation_singleton_p1_lcb95,validation_singleton_p1_ucb95,validation_p_value_label0,validation_p_value_label1,validation_q_value_label0,validation_q_value_label1,direct_singleton_candidate,repeated_singleton_candidate,discovery_rule_target,validated_rule_target,rule_description_ru
category_concept,"[""Аптека"",""optical_power"",""different_value""]",Аптека,optical_power,different_value,1188,1187,1,48,48,0,rp_74cd0be132fadd0f21dad35e;rp_e685f396514d9431b6af86ba;rp_f29d5c7c2fb8b8086ff942c9,"+3.25 | -0,75 | -1.50",175,116,59,1.0,0.0,0.6628571428571428,0.33714285714285713,0.9258998703338824,0.9999999999999998,6.424720965888271e-18,0.0741001296661175,3.6656419118558485e-11,1.0,6.330092284957811e-07,1.0,974,973,1,41,41,0,rp_74cd0be132fadd0f21dad35e;rp_e685f396514d9431b6af86ba;rp_acbf9bd1b51bd03664b05a84,"+3.25 | -0,75 | -2.75",152,103,49,1.0,0.0,0.6776315789473685,0.3223684210526316,0.914332429815568,0.9999999999999998,-6.344455723391929e-18,0.08566757018443186,4.230510025270601e-09,1.0,4.6961011563851046e-05,1.0,214,214,0,7,7,0,rp_f29d5c7c2fb8b8086ff942c9;rp_109955330cd81ab31a682e1e;rp_6d08d151cb9a84cabda88022,-1.50 | -3.00 | +1.50,23,13,10,1.0,0.0,0.5652173913043478,0.43478260869565216,0.6456695649333126,1.0,3.584186086443356e-17,0.3543304350666874,0.006999596177143625,1.0,1.0,1.0,True,True,0,0,В категории Аптека различие по optical_power (different_value) связано с меткой 0.
global_concept,"[""__ALL__"",""optical_power"",""different_value""]",__ALL__,optical_power,different_value,1190,1188,2,48,48,0,rp_74cd0be132fadd0f21dad35e;rp_e685f396514d9431b6af86ba;rp_f29d5c7c2fb8b8086ff942c9,"+3.25 | -0,75 | -1.50",8102,4946,3156,1.0,0.0,0.6104665514687732,0.38953344853122684,0.9258998703338824,0.9999999999999998,6.424720965888271e-18,0.0741001296661175,4.709641836107452e-11,1.0,7.116327684881312e-07,1.0,976,974,2,41,41,0,rp_74cd0be132fadd0f21dad35e;rp_e685f396514d9431b6af86ba;rp_acbf9bd1b51bd03664b05a84,"+3.25 | -0,75 | -2.75",6510,3982,2528,1.0,0.0,0.6116743471582181,0.3883256528417819,0.914332429815568,0.9999999999999998,-6.344455723391929e-18,0.08566757018443186,1.6308384382000147e-09,1.0,2.036611427104656e-05,1.0,214,214,0,7,7,0,rp_f29d5c7c2fb8b8086ff942c9;rp_109955330cd81ab31a682e1e;rp_6d08d151cb9a84cabda88022,-1.50 | -3.00 | +1.50,1592,964,628,1.0,0.0,0.6055276381909548,0.3944723618090452,0.6456695649333126,1.0,3.584186086443356e-17,0.3543304350666874,0.029593222375818427,1.0,1.0,1.0,True,True,0,0,Глобально различие по optical_power (different_value) связано с меткой 0.
