stage,experiment,kernel_slug,role,loss_variant,is_hypothesis,hypothesis_family_size,axis,level,conditional_extension_levels,stage_lock_payload_sha256,stage_lock_transition_kind,completed,completion_path,run_id,status,completed_at_utc,epochs,learning_rate,weight_decay,warmup_ratio,label_smoothing,max_grad_norm,batch_size_per_gpu,gradient_accumulation,effective_batch,seed,iid_macro_ap,hard_macro_ap,ood_macro_ap,hard_recall_at_p99,hard_roc_auc,ood_log_loss,iid_delta,iid_p_value,iid_p_holm_3_splits,iid_ci95_low,iid_ci95_high,iid_delta_vs_anchor,iid_p_value_vs_anchor,iid_ci95_low_vs_anchor,iid_ci95_high_vs_anchor,hard_delta,ood_delta,training_seconds,total_pipeline_seconds,peak_vram_gib,recipe_sha256,code_bundle_sha256,iid_predictions_sha256,sheets_sync_status,iid_p_holm_stage
regularization_coordinate_search__weight_decay,minilm5_sft_wd0p05_f45c4917_v1,pm-minilm5-sft-wd0p05-f45c4917-v1,candidate,bce,True,3,weight_decay,0.05,[0.1],6d1ddf0719974550578637f39f96cea0ee7e9c0f1ab36031cb2da6aeae1afef8,stage_transition,True,/Users/aekuleshevskii/product_matching/artifacts/kaggle/pm-minilm5-sft-wd0p05-f45c4917-v1/notebook_completed.json,5bfacb80212f4161a6ff857bda160b89,complete,2026-08-28T06:19:08Z,3,8e-05,0.05,0.05,0.0,1.0,96,1,192,42,0.8085194999707501,0.42000987088487457,0.6474276178846646,0.0,0.7457226102522093,0.36247323025173167,0.019131367195819093,0.0004997501249375312,0.0014992503748125937,0.011123712927305681,0.026647021643598993,1.7155927074630206e-05,0.9860069965017492,-0.002338686459114164,0.0022425987727652382,0.054508950736243345,0.00476735542936757,2880.9233019429994,3318.3753197589995,9.187827110290527,f45c4917436cea8798ad3c03ce62ac893ac3e9a424bcd8c9d5875e44eb07d5f9,4b59d00cb679cdb603cc51a5646541e880a8b79206ad31ec63bcb988c2e6f00e,67887525100e77f4962483598712368b70774e28696efc3534bebf52286076d1,synced,1.0
regularization_coordinate_search__weight_decay,minilm5_sft_e3_lr8e5_v1,pm-minilm5-sft-e3-lr8e5-v1,stage_anchor,bce,False,3,weight_decay,0.01,[0.1],6d1ddf0719974550578637f39f96cea0ee7e9c0f1ab36031cb2da6aeae1afef8,stage_transition,True,/Users/aekuleshevskii/product_matching/artifacts/kaggle/pm-minilm5-sft-e3-lr8e5-v1/notebook_completed.json,2facdf6ad2b842a8a2f3e4c66410675e,complete,2026-08-27T21:40:34Z,3,8e-05,0.01,0.05,0.0,1.0,96,1,192,42,0.8085023440436755,0.4232862543776499,0.6479765771635906,0.0,0.7446779134675036,0.36364994418913704,0.019114211268744463,0.0004997501249375312,0.0014992503748125937,0.011101041773375158,0.02643029296259194,0.0,1.0,0.0,0.0,0.05778533422901866,0.005316314708293524,2966.8185710800003,3416.3491150980003,9.187827110290527,e98a9eb6cc5bc2307c94c7c63f9639d8b3de0155e65e24c1a663494a752bc0bd,4b59d00cb679cdb603cc51a5646541e880a8b79206ad31ec63bcb988c2e6f00e,2fd79620059ad4425afe3998912b08f8cd6f9db06d54ca2fd042a9b5f7215e00,synced,
regularization_coordinate_search__weight_decay,minilm5_sft_wd0_08ebb878_v1,pm-minilm5-sft-wd0-08ebb878-v1,candidate,bce,True,3,weight_decay,0.0,[0.1],6d1ddf0719974550578637f39f96cea0ee7e9c0f1ab36031cb2da6aeae1afef8,stage_transition,True,/Users/aekuleshevskii/product_matching/artifacts/kaggle/pm-minilm5-sft-wd0-08ebb878-v1/notebook_completed.json,a9aed0521e1848bc8d4bb44553e87153,complete,2026-08-28T05:01:37Z,3,8e-05,0.0,0.05,0.0,1.0,96,1,192,42,0.8081873464846483,0.4238812815621589,0.649422801042541,0.0006752194463200541,0.7467405818730459,0.36125152043565334,0.018799213709717266,0.0004997501249375312,0.0014992503748125937,0.01079539104020863,0.026152679553590113,-0.00031499755902719695,0.7871064467766117,-0.002891233216078848,0.002143016873290895,0.05838036141352765,0.00676253858724396,2797.543210535,3225.945188849,9.187827110290527,08ebb878917598c746ed13aef43c8b8b02b1cc30df9c987e19528fdb293fd998,4b59d00cb679cdb603cc51a5646541e880a8b79206ad31ec63bcb988c2e6f00e,bb9ddff7b5990469324f2e7283acaf422ad5b59fb7aa5c6ae987b167faaa97a6,synced,1.0
