split,specialist,n,positive_rate,bge_macro_ap,specialist_macro_ap,macro_ap_delta,bge_overall_ap,specialist_overall_ap,bge_logloss,specialist_logloss,bge_mae,specialist_mae,ap_category_count,binary_threshold,binary_threshold_source,binary_specialist_better,binary_bge_better,binary_approximately_equal,binary_net_correction,logloss_specialist_better,logloss_bge_better,logloss_approximately_equal,logloss_net_correction,absolute_error_specialist_better,absolute_error_bge_better,absolute_error_approximately_equal,absolute_error_net_correction
iid,minilm,12000,0.25983333333333336,0.7822219461825138,0.7825082946505484,0.0002863484680345474,0.8366439668804049,0.8353070694896946,0.29841743078637806,0.29965777623325396,0.16586986090136693,0.1678299714496552,18,0.5,fixed_not_fitted,319,300,11381,19,4329,4765,2906,-436,3558,4046,4396,-488
iid,rumodernbert,12000,0.25983333333333336,0.7822219461825138,0.7732960589198132,-0.008925887262700605,0.8366439668804049,0.8274817160331572,0.29841743078637806,0.3026748441589749,0.16586986090136693,0.18370052751686794,18,0.5,fixed_not_fitted,284,348,11368,-64,2922,7102,1976,-4180,2573,5974,3453,-3401
hard,minilm,5814,0.2547299621603027,0.3759746515593398,0.3680746999688508,-0.007899951590489007,0.42671110574515686,0.4132609126982235,0.6943082900296147,0.7004029628181032,0.30571369406423154,0.30706292215916553,18,0.5,fixed_not_fitted,245,249,5320,-4,2317,2385,1112,-68,1958,2024,1832,-66
hard,rumodernbert,5814,0.2547299621603027,0.3759746515593398,0.35039853081965616,-0.025576120739683628,0.42671110574515686,0.39410159722580757,0.6943082900296147,0.6687650371138927,0.30571369406423154,0.32625341415725645,18,0.5,fixed_not_fitted,196,306,5312,-110,1848,3255,711,-1407,1631,2808,1375,-1177
ood,minilm,41171,0.22236525709844307,0.6412704537924441,0.6165228524432529,-0.024747601349191184,0.7448364257608138,0.729710262494625,0.35423973379761425,0.3619238418806811,0.1706981988535142,0.17982940441364936,2,0.5,fixed_not_fitted,830,972,39369,-142,13243,19131,8797,-5888,10586,15933,14652,-5347
ood,rumodernbert,41171,0.22236525709844307,0.6412704537924441,0.6330223628559233,-0.008248090936520791,0.7448364257608138,0.7370797189398918,0.35423973379761425,0.3444614994911232,0.1706981988535142,0.18693704448174028,2,0.5,fixed_not_fitted,830,887,39454,-57,9909,27233,4029,-17324,8608,22885,9678,-14277
