split,route_budget,route_expert,macro_ap_gain,macro_ap,route_coverage,gain_per_route_coverage,oracle_policy,score_mode,routed_minilm,routed_rumodernbert
hard,0.05,best_expert,0.02980639378045291,0.4057810453397927,0.04987960096319229,0.5975668049639766,global_directional,replace,200,90
hard,0.05,minilm,0.026061554091642236,0.402036205650982,0.04987960096319229,0.5224892258234758,global_directional,replace,290,0
hard,0.05,rumodernbert,0.024690830290946097,0.4006654818502859,0.04987960096319229,0.4950085769364159,global_directional,replace,0,290
hard,0.1,best_expert,0.054609154148979544,0.43058380570831933,0.0999312005503956,0.5464675081276541,global_directional,replace,355,226
hard,0.1,minilm,0.04544462987640174,0.42141928143574153,0.0999312005503956,0.4547591705703954,global_directional,replace,581,0
hard,0.1,rumodernbert,0.04564740909269499,0.4216220606520348,0.09838321293429653,0.46397558822539975,category_balanced_directional,replace,0,572
hard,0.15,best_expert,0.07707886114326346,0.45305351270260324,0.14860681114551083,0.518676503109877,category_balanced_directional,replace,506,358
hard,0.15,minilm,0.06008383325341049,0.4360584848127503,0.14860681114551083,0.40431412793440813,category_balanced_directional,replace,864,0
hard,0.15,rumodernbert,0.058352706776983454,0.43432735833632324,0.14860681114551083,0.3926650893534512,category_balanced_directional,replace,0,864
hard,0.2,best_expert,0.09456625488282383,0.4705409064421636,0.19865841073271415,0.4760244206828898,category_balanced_directional,replace,662,493
hard,0.2,minilm,0.06988479513928836,0.44585944669862815,0.19865841073271415,0.35178372202582037,category_balanced_directional,replace,1155,0
hard,0.2,rumodernbert,0.07274167402981391,0.4487163255891537,0.1998624011007912,0.3639587717808417,global_directional,replace,0,1162
hard,0.3,best_expert,0.12212070521202928,0.49809535677136907,0.2999656002751978,0.40711569960019395,global_directional,replace,999,745
hard,0.3,minilm,0.08358838203421637,0.45956303359355616,0.2999656002751978,0.27865989285948045,global_directional,replace,1744,0
hard,0.3,rumodernbert,0.08819022113970326,0.46416487269904305,0.2999656002751978,0.2940011156572447,global_directional,replace,0,1744
hard,0.4,best_expert,0.1403011688013664,0.5162758203607062,0.39989680082559337,0.35084343888651365,global_directional,replace,1338,987
hard,0.4,minilm,0.08837933188704922,0.464353983446389,0.39989680082559337,0.22100534864142116,global_directional,replace,2325,0
hard,0.4,rumodernbert,0.08919854329643673,0.4651731948557765,0.34657722738218094,0.2573698911788998,global_directional,replace,0,2015
iid,0.05,best_expert,0.053836235659352805,0.8360581818418666,0.049416666666666664,1.0894347856867348,category_balanced_directional,replace,336,257
iid,0.05,minilm,0.04299614821225339,0.8252180943947672,0.049416666666666664,0.8700738255430704,category_balanced_directional,replace,593,0
iid,0.05,rumodernbert,0.04365682737488663,0.8258787735574005,0.049416666666666664,0.8834433870128829,category_balanced_directional,replace,0,593
iid,0.1,best_expert,0.07651440373477814,0.858736349917292,0.09933333333333333,0.7702792322293102,category_balanced_directional,replace,673,519
iid,0.1,minilm,0.05850717295006991,0.8407291191325837,0.09933333333333333,0.5889983854033883,category_balanced_directional,replace,1192,0
iid,0.1,rumodernbert,0.06159606188361322,0.8438180080661271,0.09933333333333333,0.6200945827209384,category_balanced_directional,replace,0,1192
iid,0.15,best_expert,0.09140424723525808,0.8736261934177719,0.14941666666666667,0.6117406396113201,category_balanced_directional,replace,1048,745
iid,0.15,minilm,0.06889147480734803,0.8511134209898619,0.14941666666666667,0.4610695469538072,category_balanced_directional,replace,1793,0
iid,0.15,rumodernbert,0.0707178966411609,0.8529398428236747,0.15,0.47145264427440603,global_directional,replace,0,1800
iid,0.2,best_expert,0.10082113178151153,0.8830430779640254,0.2,0.5041056589075577,global_directional,replace,1407,993
iid,0.2,minilm,0.0741097081037988,0.8563316542863126,0.2,0.370548540518994,global_directional,replace,2400,0
iid,0.2,rumodernbert,0.0767947347666934,0.8590166809492072,0.2,0.38397367383346703,global_directional,replace,0,2400
iid,0.3,best_expert,0.11244261516488852,0.8946645613474024,0.3,0.37480871721629505,global_directional,replace,2195,1405
iid,0.3,minilm,0.07931111871255092,0.8615330648950648,0.3,0.26437039570850307,global_directional,replace,3600,0
iid,0.3,rumodernbert,0.07889310053870535,0.8611150467212192,0.28058333333333335,0.28117529149523734,global_directional,replace,0,3367
iid,0.4,best_expert,0.1145793451882503,0.8968012913707641,0.4,0.28644836297062576,global_directional,replace,3096,1704
iid,0.4,minilm,0.08037508063825449,0.8625970268207683,0.4,0.20093770159563623,global_directional,replace,4800,0
iid,0.4,rumodernbert,0.07889310053870535,0.8611150467212192,0.28058333333333335,0.28117529149523734,global_directional,replace,0,3367
ood,0.05,best_expert,0.09052078634291227,0.7317912401353563,0.04996235214107017,1.8117799195547113,category_balanced_directional,replace,1089,968
ood,0.05,minilm,0.07229157584971913,0.7135620296421632,0.04996235214107017,1.4469209865380583,category_balanced_directional,replace,2057,0
ood,0.05,rumodernbert,0.07173564046848524,0.7130060942609293,0.04996235214107017,1.4357939006942178,category_balanced_directional,replace,0,2057
ood,0.1,best_expert,0.13006005593979908,0.7713305097322432,0.09997328216463044,1.3009481445815034,category_balanced_directional,replace,2158,1958
ood,0.1,minilm,0.09610890353928281,0.7373793573317269,0.09997328216463044,0.961345886204036,category_balanced_directional,replace,4116,0
ood,0.1,rumodernbert,0.09843015062038019,0.7397006044128243,0.09997328216463044,0.9845645605421945,category_balanced_directional,replace,0,4116
ood,0.15,best_expert,0.15035250717724746,0.7916229609696915,0.14998421218819072,1.0024555583796688,category_balanced_directional,replace,3260,2915
ood,0.15,minilm,0.10619902809625459,0.7474694818886987,0.14998421218819072,0.7080680462754491,global_directional,replace,6175,0
ood,0.15,rumodernbert,0.11125944846756486,0.7525299022600089,0.14998421218819072,0.7418077332563745,category_balanced_directional,replace,0,6175
