rule_id,category
rule_e6089842c9cca12b,Дом и сад
rule_e6089842c9cca12b,Красота и гигиена
rule_e6089842c9cca12b,Товары для животных
rule_f3a0a3942325774a,Автотовары
rule_f3a0a3942325774a,Аптека
rule_f3a0a3942325774a,Бытовая химия
rule_f3a0a3942325774a,Детские товары
rule_f3a0a3942325774a,Дом и сад
rule_f3a0a3942325774a,Канцелярские товары
rule_f3a0a3942325774a,Красота и гигиена
rule_f3a0a3942325774a,Мебель
rule_f3a0a3942325774a,Музыкальные инструменты
rule_f3a0a3942325774a,Продукты питания
rule_f3a0a3942325774a,Спорт и отдых
rule_f3a0a3942325774a,Строительство и ремонт
rule_f3a0a3942325774a,Товары для животных
rule_f3a0a3942325774a,Хобби и творчество
rule_f3a0a3942325774a,Электроника
rule_f63c58ab0b7fda1d,Автотовары
rule_f63c58ab0b7fda1d,Бытовая химия
rule_f63c58ab0b7fda1d,Детские товары
rule_f63c58ab0b7fda1d,Дом и сад
rule_f63c58ab0b7fda1d,Канцелярские товары
rule_f63c58ab0b7fda1d,Красота и гигиена
rule_f63c58ab0b7fda1d,Мебель
rule_f63c58ab0b7fda1d,Музыкальные инструменты
rule_f63c58ab0b7fda1d,Обувь
rule_f63c58ab0b7fda1d,Продукты питания
rule_f63c58ab0b7fda1d,Строительство и ремонт
rule_f63c58ab0b7fda1d,Товары для животных
rule_f63c58ab0b7fda1d,Хобби и творчество
rule_f63c58ab0b7fda1d,Электроника
rule_f63c58ab0b7fda1d,Ювелирные изделия
rule_fdcb40de9809d8cb,Автотовары
rule_fdcb40de9809d8cb,Аптека
rule_fdcb40de9809d8cb,Красота и гигиена
rule_fdcb40de9809d8cb,Спорт и отдых
rule_fdcb40de9809d8cb,Хобби и творчество
