stage,experiment,kernel_slug,role,loss_variant,is_hypothesis,hypothesis_family_size,axis,level,conditional_extension_levels,stage_lock_payload_sha256,stage_lock_transition_kind,completed,completion_path,run_id,status,completed_at_utc,epochs,learning_rate,weight_decay,warmup_ratio,label_smoothing,max_grad_norm,batch_size_per_gpu,gradient_accumulation,effective_batch,seed,iid_macro_ap,hard_macro_ap,ood_macro_ap,hard_recall_at_p99,hard_roc_auc,ood_log_loss,iid_delta,iid_p_value,iid_p_holm_3_splits,iid_ci95_low,iid_ci95_high,iid_delta_vs_anchor,iid_p_value_vs_anchor,iid_ci95_low_vs_anchor,iid_ci95_high_vs_anchor,hard_delta,ood_delta,training_seconds,total_pipeline_seconds,peak_vram_gib,recipe_sha256,code_bundle_sha256,iid_predictions_sha256,sheets_sync_status,iid_p_holm_stage
regularization_coordinate_search__label_smoothing,minilm5_sft_e3_lr8e5_v1,pm-minilm5-sft-e3-lr8e5-v1,stage_anchor,bce,False,3,label_smoothing,0.0,[0.1],bcef4c9c22451a4c9addd3887167c570e4751e8a0e40536db6359069395482ae,stage_transition,True,/Users/aekuleshevskii/product_matching/artifacts/kaggle/pm-minilm5-sft-e3-lr8e5-v1/notebook_completed.json,2facdf6ad2b842a8a2f3e4c66410675e,complete,2026-08-27T21:40:34Z,3,8e-05,0.01,0.05,0.0,1.0,96,1,192,42,0.8085023440436755,0.4232862543776499,0.6479765771635906,0.0,0.7446779134675036,0.36364994418913704,0.019114211268744463,0.0004997501249375312,0.0014992503748125937,0.011101041773375158,0.02643029296259194,0.0,1.0,0.0,0.0,0.05778533422901866,0.005316314708293524,2966.8185710800003,3416.3491150980003,9.187827110290527,e98a9eb6cc5bc2307c94c7c63f9639d8b3de0155e65e24c1a663494a752bc0bd,4b59d00cb679cdb603cc51a5646541e880a8b79206ad31ec63bcb988c2e6f00e,2fd79620059ad4425afe3998912b08f8cd6f9db06d54ca2fd042a9b5f7215e00,synced,
regularization_coordinate_search__label_smoothing,minilm5_sft_ls0p05_fa9c6582_v1,pm-minilm5-sft-ls0p05-fa9c6582-v1,candidate,bce,True,3,label_smoothing,0.05,[0.1],bcef4c9c22451a4c9addd3887167c570e4751e8a0e40536db6359069395482ae,stage_transition,True,/Users/aekuleshevskii/product_matching/artifacts/kaggle/pm-minilm5-sft-ls0p05-fa9c6582-v1/notebook_completed.json,9c759f7abbe74a209693766968d449b1,complete,2026-08-28T08:38:23Z,3,8e-05,0.01,0.05,0.05,1.0,96,1,192,42,0.8073385844319304,0.4250972849293548,0.6475248473700023,0.0006752194463200541,0.7434000143053647,0.33895037882904,0.017950451656999378,0.0004997501249375312,0.0014992503748125937,0.01037538919117963,0.024772385094927983,-0.0011637596117450855,0.6591704147926037,-0.0044112161301083416,0.0020504508678285283,0.059596364780723554,0.004864584914705206,3115.0737107020004,3563.283153011,9.187827110290527,fa9c65822743e801b69a95a1c830b3119ef254b8d96a85b2071aa833868bc094,4b59d00cb679cdb603cc51a5646541e880a8b79206ad31ec63bcb988c2e6f00e,3a9ff1a2f594323b59971bc94d0962444a90c61dd50ba2247fc2482efdcb577d,synced,1.0
regularization_coordinate_search__label_smoothing,minilm5_sft_ls0p02_721b2785_v1,pm-minilm5-sft-ls0p02-721b2785-v1,candidate,bce,True,3,label_smoothing,0.02,[0.1],bcef4c9c22451a4c9addd3887167c570e4751e8a0e40536db6359069395482ae,stage_transition,True,/Users/aekuleshevskii/product_matching/artifacts/kaggle/pm-minilm5-sft-ls0p02-721b2785-v1/notebook_completed.json,fa2fcdca3ea1432b9a3a11ca99db812e,complete,2026-08-28T07:28:32Z,3,8e-05,0.01,0.05,0.02,1.0,96,1,192,42,0.8061753763692515,0.42190337278937146,0.6496557031491444,0.0006752194463200541,0.7443449787001222,0.34670848478663807,0.01678724359432049,0.0004997501249375312,0.0014992503748125937,0.00904369746099495,0.023953183948478275,-0.0023269676744239742,0.20789605197401298,-0.005442032697272748,0.0006318878213294427,0.05640245264074023,0.006995440693847388,3014.6396762,3445.6482434359996,9.187827110290527,721b2785add63b175d6baa02f5df9f7d00830395932ff52c1b9ae6e7f9957cb3,4b59d00cb679cdb603cc51a5646541e880a8b79206ad31ec63bcb988c2e6f00e,9319546a1799a19c69f5afda2452cb9f3ad9dfcb0d49ab5ad563682ec29538c1,synced,0.623688155922039
