method,coverage,mini_weight,oof_macro_ap,iid_macro_ap,hard_macro_ap,ood_macro_ap,mean_macro_ap
bge_oneway,0.0,,,0.7800717774401389,0.376408555384703,0.6365235077978559,0.5976679468742326
full_oneway,1.0,,,0.7914059079703963,0.3722587637468829,0.6387084060770963,0.6007910259314585
uncertainty,0.2,0.5,0.7848287893893514,0.7855241892817824,0.37750069191423,0.6381724244519182,0.6003991018826436
score_title,0.4,0.5,0.787916747346173,0.7881950552432775,0.37708810054523534,0.6392545436659138,0.6015125664848089
score_title,0.6,0.5,0.7891427495259979,0.7900522336322378,0.37578158058164646,0.6383866758381097,0.6014068300173313
