axis,conditional_extension_levels,experiment,hypothesis_family_size,is_hypothesis,kernel_slug,level,loss_variant,role,stage,stage_lock_payload_sha256,stage_lock_transition_kind,extension_consumed_axis,completed,completion_path,run_id,status,completed_at_utc,epochs,learning_rate,weight_decay,warmup_ratio,label_smoothing,max_grad_norm,batch_size_per_gpu,gradient_accumulation,effective_batch,seed,iid_macro_ap,hard_macro_ap,ood_macro_ap,hard_recall_at_p99,hard_roc_auc,ood_log_loss,iid_delta,iid_p_value,iid_p_holm_3_splits,iid_ci95_low,iid_ci95_high,iid_delta_vs_anchor,iid_p_value_vs_anchor,iid_ci95_low_vs_anchor,iid_ci95_high_vs_anchor,hard_delta,ood_delta,training_seconds,total_pipeline_seconds,peak_vram_gib,recipe_sha256,code_bundle_sha256,iid_predictions_sha256,sheets_sync_status,iid_p_holm_stage
epochs,[4],minilm5_sft_e3_lr8e5_v1,3,True,pm-minilm5-sft-e3-lr8e5-v1,3,bce,candidate,epoch_line,38f3a6d81fb876161caa9d6374a6828639b85cc76552f0e939849ca7d5f6022b,conditional_boundary_extension,epochs,True,/Users/aekuleshevskii/product_matching/artifacts/kaggle/pm-minilm5-sft-e3-lr8e5-v1/notebook_completed.json,2facdf6ad2b842a8a2f3e4c66410675e,complete,2026-08-27T21:40:34Z,3,8e-05,0.01,0.05,0.0,1.0,96,1,192,42,0.8085023440436755,0.4232862543776499,0.6479765771635906,0.0,0.7446779134675036,0.36364994418913704,0.019114211268744463,0.0004997501249375312,0.0014992503748125937,0.011101041773375158,0.02643029296259194,0.010423432842879388,0.0014992503748125937,0.004243825637877191,0.016123975930411892,0.05778533422901866,0.005316314708293524,2966.8185710800003,3416.3491150980003,9.187827110290527,e98a9eb6cc5bc2307c94c7c63f9639d8b3de0155e65e24c1a663494a752bc0bd,4b59d00cb679cdb603cc51a5646541e880a8b79206ad31ec63bcb988c2e6f00e,2fd79620059ad4425afe3998912b08f8cd6f9db06d54ca2fd042a9b5f7215e00,synced,0.0029985007496251873
epochs,[4],minilm5_sft_e2_lr8e5_v1,3,True,pm-minilm5-sft-e2-lr8e5-v1,2,bce,candidate,epoch_line,38f3a6d81fb876161caa9d6374a6828639b85cc76552f0e939849ca7d5f6022b,conditional_boundary_extension,epochs,True,/Users/aekuleshevskii/product_matching/artifacts/kaggle/pm-minilm5-sft-e2-lr8e5-v1/notebook_completed.json,105a8e13e5ce443d81c2af6258832831,complete,2026-08-27T20:32:37Z,2,8e-05,0.01,0.05,0.0,1.0,96,1,192,42,0.8061572880268044,0.40357063234641316,0.6555604121118698,0.0,0.7340773733231127,0.34774886178148584,0.01676915525187339,0.0004997501249375312,0.0014992503748125937,0.01023584977223635,0.022638503990849,0.008078376826008316,0.0009995002498750624,0.0035643827038194325,0.012386336801380992,0.038069712197781935,0.012900149656572713,1839.0720752680002,2264.227085722,9.187827110290527,e35e0987483a25285ce5bff27df07f606a79bffecce0b22b66847057e48d23a1,4b59d00cb679cdb603cc51a5646541e880a8b79206ad31ec63bcb988c2e6f00e,c12284cb49f44d0e6b70b50dda416a06cd2504f93a8d54265b91676976ada433,synced,0.0029985007496251873
epochs,[],minilm5_sft_e4_lr8e5_v1,3,True,pm-minilm5-sft-e4-lr8e5-v1,4,bce,candidate,epoch_line,38f3a6d81fb876161caa9d6374a6828639b85cc76552f0e939849ca7d5f6022b,conditional_boundary_extension,epochs,True,/Users/aekuleshevskii/product_matching/artifacts/kaggle/pm-minilm5-sft-e4-lr8e5-v1/notebook_completed.json,35f1c0568e524491827000dc4252078a,complete,2026-08-27T23:15:35Z,4,8e-05,0.01,0.05,0.0,1.0,96,1,192,42,0.8057766122032568,0.43173158647006843,0.6427938238915205,0.0,0.7474417473239385,0.3758920134406874,0.016388479428325775,0.0004997501249375312,0.0014992503748125937,0.008307255042983994,0.02477252467083271,0.0076977010024606995,0.063968015992004,0.0012411046826155347,0.014318004375366804,0.0662306663214372,0.00013356143622345051,4053.392170661,4482.644009428,9.187827110290527,1505bdc421e9b13157fd9d5ddc1be2409e71b64da3ed9008380f363c256de312,4b59d00cb679cdb603cc51a5646541e880a8b79206ad31ec63bcb988c2e6f00e,c081791b71f6fb40c1b9fb2f93f4e27eadfb35dd86438318dca0ec8a98bb2a3a,synced,0.063968015992004
epochs,[4],minilm5_sft_learningrate8m5_0797e754_v1,3,False,pm-minilm5-sft-learningrate8m5-0797e754-v1,1,bce,stage_anchor,epoch_line,38f3a6d81fb876161caa9d6374a6828639b85cc76552f0e939849ca7d5f6022b,conditional_boundary_extension,epochs,True,/Users/aekuleshevskii/product_matching/artifacts/kaggle/pm-minilm5-sft-learningrate8m5-0797e754-v1/notebook_completed.json,436af881fa5b4da28a5ce9187d44b5cf,complete,2026-08-27T19:42:30Z,1,8e-05,0.01,0.05,0.0,1.0,96,1,192,42,0.7980789112007961,0.37871844061055476,0.6533293608480704,0.0,0.7134167179223625,0.34362361503852423,0.008690778425865076,0.0004997501249375312,0.0014992503748125937,0.003660823405163391,0.013220970020151192,0.0,1.0,0.0,0.0,0.013217520461923538,0.010669098392773302,910.950945168,1342.169845622,9.187827110290527,0797e754f2b369e57a062dbf303489e42bd000675379c7f6dbba82d9bb18c5f2,4b59d00cb679cdb603cc51a5646541e880a8b79206ad31ec63bcb988c2e6f00e,d582acf62cb890179a407b89bae6cc53eef2170cf862e01d87f2226356c253f7,synced,
